ThermDAC Version,device.map.iSGHP-DHS.29MAY19.xls,8/14/2019 2:39:50 PM
CalcsFile Version,3/31/2014 8:09:08 PM
[Test Data]
Format 2
Experiment Type:,dry
Test Date:,10/8/2019,12:03:29 PM
Logging Interval (min),0.00166666666666667
Datafile:,C:\Program Files (x86)\ThermDac8\DEV_ISGHP_DHS\Test Data\Kappler\D200-2.csv
Comments:,


Device Name,,Test Plate,Guard Ring,Lower Guard
RCT0,degC.m2/W,0.0520,,,
Surface Area,m2,0.0423,0.0475,1.0000,

,,Test Plate,Test Plate,Test Plate,Test Plate,Guard Ring,Lower Guard,Backside Cooling,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Test Plate,Guard Ring,Backside Cooling,Test Plate,Test Plate
Time,Clock,RCT,RCT CLO,RCF,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heater Voltage,Heater Voltage,Heater Voltage,Heater % On,Heater % On,Heater % On,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Amb Temp,Ambient Temp 1,Ambient Temp 2,Air Velocity,Raw Air Velocity,Chamber Temp,Amb RH,Heater % Out,Steam % Out,Fan % Output,Board Temp,Heater TC (Overtemp),Boiler TC (Overtemp),Flow Setpoint,Flow Setpoint,Cooler % Output,Heat Flux Measured,DHS Sensor Delta Temperature,EventText,SystemEventText
Seconds,,degC.m2/W,Clo,degC.m2/W,degC,degC,degC,degC,V,V,V,%,%,%,W/m2,W/m2,W/m2,degC,degC,degC,m/sec,m/sec,degC,%RH,%,%,%,degC,degC,degC,ml/(hr.m2),ml/(hr.m2),%,W/m2,degC
0.11151,12:03:29 PM,0.1638,1.057,0.1118,34.92,34.72,35.01,22.50,47.93,47.93,47.94,22.15,23.83,36.03,446.9,519.5,24.6,21.85,21.84,21.87,0.11,0.11,21.91,61.5,0.00,0.00,30.00,23.8,21.6,23.5,0,0,0.00,209.5,0.49,,
0.2114584,12:03:29 PM,0.1638,1.057,0.1118,34.92,34.72,35.01,22.50,47.93,47.93,47.94,22.15,23.83,36.03,446.9,519.5,24.6,21.85,21.84,21.87,0.11,0.11,21.91,61.5,0.00,0.00,30.00,23.8,21.9,23.5,0,0,0.00,209.5,0.49,,
0.31235,12:03:30 PM,0.1638,1.057,0.1118,34.92,34.72,35.01,22.50,47.93,47.93,47.94,22.15,23.83,36.03,446.9,519.5,24.6,21.85,21.84,21.87,0.11,0.11,21.91,61.5,0.00,0.00,30.00,23.8,21.9,23.8,0,0,0.00,209.5,0.49,,
0.4122985,12:03:30 PM,0.1638,1.057,0.1118,34.92,34.72,35.01,22.50,47.88,47.54,47.37,22.15,23.83,36.03,446.9,519.5,24.6,21.85,21.84,21.87,0.11,0.11,21.91,61.5,0.00,0.00,30.00,23.8,21.9,23.8,0,0,0.00,209.5,0.49,,
0.512249,12:03:30 PM,0.0292,0.189,-0.0228,34.92,34.72,35.01,22.50,47.88,47.54,47.37,22.15,23.83,36.03,446.9,519.5,24.6,21.85,21.84,21.87,0.11,0.11,21.91,61.5,0.00,0.00,0.00,23.8,21.9,23.8,0,0,0.00,209.5,0.49,,
0.612197,12:03:30 PM,0.1638,1.057,0.1118,34.92,34.72,35.01,22.50,47.88,47.54,47.37,22.15,23.83,36.03,446.9,519.5,24.6,21.85,21.84,21.87,0.11,0.11,21.91,61.5,0.00,0.00,0.00,23.8,21.9,23.8,0,0,0.00,209.5,0.49,,
0.7121445,12:03:30 PM,0.1638,1.057,0.1118,34.92,34.72,35.01,22.50,47.88,47.54,47.37,22.15,23.83,36.03,446.9,519.5,24.6,21.85,21.84,21.87,0.11,0.11,21.91,61.5,0.00,0.00,0.00,23.8,21.9,23.8,0,0,0.00,209.5,0.49,,
0.8120931,12:03:30 PM,0.1638,1.057,0.1118,34.92,34.72,35.01,22.50,47.88,47.54,47.37,22.15,23.83,36.03,446.9,519.5,24.6,21.85,21.84,21.87,0.11,0.11,21.91,61.5,0.00,0.00,0.00,23.8,21.9,23.8,0,0,0.00,209.5,0.49,,
0.9121015,12:03:30 PM,0.1638,1.057,0.1118,34.92,34.72,35.01,22.50,47.88,47.54,47.37,22.15,23.83,36.03,446.9,519.5,24.6,21.85,21.84,21.87,0.11,0.11,21.91,61.5,0.00,0.00,0.00,23.8,21.9,23.8,0,0,0.00,209.5,0.49,,
1.0152923,12:03:30 PM,0.0292,0.189,-0.0228,34.92,34.72,35.01,22.50,47.88,47.54,47.37,22.15,23.83,36.03,446.9,519.5,24.6,21.85,21.84,21.87,0.11,0.11,21.91,61.5,0.00,0.00,0.00,23.8,21.9,23.8,0,0,0.00,209.5,0.49,,
1.1154673,12:03:30 PM,0.1638,1.057,0.1118,34.92,34.72,35.01,22.50,47.88,47.54,47.37,23.61,27.88,36.06,446.9,519.5,24.6,21.85,21.84,21.87,0.11,0.11,21.91,61.5,0.00,0.00,0.00,23.8,21.9,23.8,0,0,0.00,209.5,0.49,,
1.2154359,12:03:30 PM,0.1638,1.057,0.1118,34.92,34.72,35.01,22.50,47.88,47.54,47.37,23.61,27.88,36.06,446.9,519.5,24.6,21.85,21.84,21.87,0.11,0.11,21.91,61.5,0.00,0.00,0.00,23.8,21.9,24.0,0,0,0.00,209.5,0.49,,
1.3126978,12:03:31 PM,0.1638,1.057,0.1118,34.92,34.72,35.01,22.50,47.88,47.54,47.37,23.61,27.88,36.06,446.9,519.5,24.6,21.85,21.84,21.87,0.11,0.11,21.91,61.5,0.00,0.00,0.00,23.8,21.9,24.0,0,0,0.00,209.5,0.49,,
1.4121737,12:03:31 PM,0.1638,1.057,0.1118,34.92,34.72,35.01,22.50,47.88,47.54,47.37,23.61,27.88,36.06,446.9,519.5,24.6,21.85,21.84,21.87,0.11,0.11,21.91,61.5,0.00,0.00,0.00,23.8,21.9,24.0,0,0,0.00,209.5,0.49,,
1.5160326,12:03:31 PM,0.0273,0.176,-0.0247,34.92,34.72,35.01,22.50,47.88,47.54,47.37,23.61,27.88,36.06,478.6,611.2,24.8,21.85,21.84,21.87,0.11,0.11,21.91,61.5,0.00,0.00,0.00,23.8,21.9,24.0,0,0,0.00,209.5,0.49,,
1.6143268,12:03:31 PM,0.1638,1.057,0.1118,34.92,34.72,35.01,22.50,47.88,47.54,47.37,23.61,27.88,36.06,478.6,611.2,24.8,21.85,21.84,21.87,0.11,0.11,21.91,61.5,0.00,0.00,0.00,23.8,21.9,23.8,0,0,0.00,209.5,0.49,,
