ThermDAC Version,device.map.iSGHP-DHS.29MAY19.xls,8/14/2019 2:39:50 PM
CalcsFile Version,3/31/2014 8:09:08 PM
[Test Data]
Format 2
Experiment Type:,dry
Test Date:,10/8/2019,11:37:52 AM
Logging Interval (min),0.00166666666666667
Datafile:,C:\Program Files (x86)\ThermDac8\DEV_ISGHP_DHS\Test Data\Kappler\D200-3.csv
Comments:,


Device Name,,Test Plate,Guard Ring,Lower Guard
RCT0,degC.m2/W,0.0520,,,
Surface Area,m2,0.0423,0.0475,1.0000,

,,Test Plate,Test Plate,Test Plate,Test Plate,Guard Ring,Lower Guard,Backside Cooling,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Test Plate,Guard Ring,Backside Cooling,Test Plate,Test Plate
Time,Clock,RCT,RCT CLO,RCF,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heater Voltage,Heater Voltage,Heater Voltage,Heater % On,Heater % On,Heater % On,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Amb Temp,Ambient Temp 1,Ambient Temp 2,Air Velocity,Raw Air Velocity,Chamber Temp,Amb RH,Heater % Out,Steam % Out,Fan % Output,Board Temp,Heater TC (Overtemp),Boiler TC (Overtemp),Flow Setpoint,Flow Setpoint,Cooler % Output,Heat Flux Measured,DHS Sensor Delta Temperature,EventText,SystemEventText
Seconds,,degC.m2/W,Clo,degC.m2/W,degC,degC,degC,degC,V,V,V,%,%,%,W/m2,W/m2,W/m2,degC,degC,degC,m/sec,m/sec,degC,%RH,%,%,%,degC,degC,degC,ml/(hr.m2),ml/(hr.m2),%,W/m2,degC
0.1139735,11:37:52 AM,0.2715,1.751,0.2195,34.61,34.44,35.00,22.33,47.60,47.67,47.98,37.11,39.36,37.43,754.0,862.6,25.4,21.46,21.46,21.46,0.11,0.11,21.32,63.4,0.00,0.00,30.00,23.8,21.2,24.1,0,0,0.00,257.1,0.60,,
0.2179895,11:37:52 AM,0.2715,1.751,0.2195,34.61,34.44,35.00,22.33,47.60,47.67,47.98,37.11,39.36,37.43,754.0,862.6,25.4,21.46,21.46,21.46,0.11,0.11,21.32,63.4,0.00,0.00,0.00,23.8,21.2,24.1,0,0,0.00,257.1,0.60,,
0.3152843,11:37:53 AM,0.2715,1.751,0.2195,34.61,34.44,35.00,22.33,47.76,47.38,47.30,37.11,39.36,37.43,754.0,862.6,25.4,21.46,21.46,21.46,0.11,0.11,21.32,63.4,0.00,0.00,0.00,23.8,21.5,24.1,0,0,0.00,257.1,0.60,,
0.4150079,11:37:53 AM,0.2715,1.751,0.2195,34.61,34.44,35.00,22.33,47.76,47.38,47.30,37.11,39.36,37.43,754.0,862.6,25.4,21.46,21.46,21.46,0.11,0.11,21.32,63.4,0.00,0.00,0.00,23.8,21.5,24.1,0,0,0.00,257.1,0.60,,
0.5149705,11:37:53 AM,0.0174,0.112,-0.0346,34.61,34.44,35.00,22.33,47.76,47.38,47.30,37.54,40.19,37.48,754.0,862.6,25.4,21.46,21.46,21.46,0.11,0.11,21.32,63.4,0.00,0.00,0.00,23.8,21.5,24.1,0,0,0.00,257.1,0.60,,
0.614917,11:37:53 AM,0.2715,1.751,0.2195,34.61,34.44,35.00,22.33,47.76,47.38,47.30,37.54,40.19,37.48,754.0,862.6,25.4,21.46,21.46,21.46,0.11,0.11,21.32,63.4,0.00,0.00,0.00,23.8,21.5,24.1,0,0,0.00,257.1,0.60,,
0.7148708,11:37:53 AM,0.2715,1.751,0.2195,34.61,34.44,35.00,22.33,47.76,47.38,47.30,37.54,40.19,37.48,754.0,862.6,25.4,21.46,21.46,21.46,0.11,0.11,21.32,63.4,0.00,0.00,0.00,23.8,21.5,24.0,0,0,0.00,257.1,0.60,,
0.8175867,11:37:53 AM,0.2715,1.751,0.2195,34.61,34.44,35.00,22.33,47.76,47.38,47.30,37.54,40.19,37.48,760.7,879.4,25.4,21.46,21.46,21.46,0.11,0.11,21.32,63.4,0.00,0.00,0.00,23.8,21.5,24.0,0,0,0.00,257.1,0.60,,
0.9175949,11:37:53 AM,0.2715,1.751,0.2195,34.61,34.44,35.00,22.33,47.76,47.38,47.30,37.54,40.19,37.48,760.7,879.4,25.4,21.46,21.46,21.46,0.11,0.11,21.32,63.4,0.00,0.00,0.00,23.8,21.5,24.0,0,0,0.00,257.1,0.60,,
1.0150883,11:37:53 AM,0.0173,0.111,-0.0347,34.61,34.44,35.00,22.33,47.76,47.38,47.30,37.54,40.19,37.48,760.7,879.4,25.4,21.46,21.46,21.46,0.11,0.11,21.32,63.4,0.00,0.00,0.00,23.8,21.5,24.0,0,0,0.00,257.1,0.60,,
1.1183074,11:37:53 AM,0.2715,1.751,0.2195,34.61,34.44,35.00,22.33,47.76,47.38,47.30,37.54,40.19,37.48,760.7,879.4,25.4,21.46,21.46,21.46,0.11,0.11,21.32,63.4,0.00,0.00,0.00,23.8,21.4,24.1,0,0,0.00,257.1,0.60,,
1.2167574,11:37:53 AM,0.2715,1.751,0.2195,34.61,34.44,35.00,22.33,47.76,47.38,47.30,37.54,40.19,37.48,760.7,879.4,25.4,21.46,21.46,21.46,0.11,0.11,21.32,63.4,0.00,0.00,0.00,23.8,21.4,24.1,0,0,0.00,257.1,0.60,,
1.3187479,11:37:54 AM,0.2715,1.751,0.2195,34.61,34.44,35.00,22.33,47.76,47.38,47.30,37.54,40.19,37.48,760.7,879.4,25.4,21.46,21.46,21.46,0.11,0.11,21.32,63.4,0.00,0.00,0.00,23.8,21.4,24.1,0,0,0.00,259.6,0.61,,
