ThermDAC Version,device.map.iSGHP-DHS.29MAY19.xls,8/14/2019 2:39:50 PM
CalcsFile Version,3/31/2014 8:09:08 PM
[Test Data]
Format 2
Experiment Type:,dry
Test Date:,10/8/2019,1:01:53 PM
Logging Interval (min),0.00166666666666667
Datafile:,C:\Program Files (x86)\ThermDac8\DEV_ISGHP_DHS\Test Data\Kappler\D200-5 upd.csv
Comments:,


Device Name,,Test Plate,Guard Ring,Lower Guard
RCT0,degC.m2/W,0.0520,,,
Surface Area,m2,0.0423,0.0475,1.0000,

,,Test Plate,Test Plate,Test Plate,Test Plate,Guard Ring,Lower Guard,Backside Cooling,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Test Plate,Guard Ring,Backside Cooling,Test Plate,Test Plate
Time,Clock,RCT,RCT CLO,RCF,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heater Voltage,Heater Voltage,Heater Voltage,Heater % On,Heater % On,Heater % On,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Amb Temp,Ambient Temp 1,Ambient Temp 2,Air Velocity,Raw Air Velocity,Chamber Temp,Amb RH,Heater % Out,Steam % Out,Fan % Output,Board Temp,Heater TC (Overtemp),Boiler TC (Overtemp),Flow Setpoint,Flow Setpoint,Cooler % Output,Heat Flux Measured,DHS Sensor Delta Temperature,EventText,SystemEventText
Seconds,,degC.m2/W,Clo,degC.m2/W,degC,degC,degC,degC,V,V,V,%,%,%,W/m2,W/m2,W/m2,degC,degC,degC,m/sec,m/sec,degC,%RH,%,%,%,degC,degC,degC,ml/(hr.m2),ml/(hr.m2),%,W/m2,degC
0.1171369,1:01:53 PM,0.0607,0.392,0.0087,34.84,34.80,34.99,22.38,47.71,47.79,47.96,11.97,7.13,36.36,214.4,255.7,25.0,21.82,21.81,21.82,0.18,0.18,21.89,60.3,0.00,0.00,30.00,23.6,22.0,22.9,0,0,0.00,263.2,0.62,,
0.2122496,1:01:53 PM,0.0607,0.392,0.0087,34.84,34.80,34.99,22.38,47.71,47.79,47.96,11.97,7.13,36.36,214.4,255.7,25.0,21.82,21.81,21.82,0.18,0.18,21.89,60.3,0.00,0.00,0.00,23.6,22.0,22.9,0,0,0.00,263.2,0.62,,
0.31704,1:01:53 PM,0.0607,0.392,0.0087,34.84,34.80,34.99,22.38,47.71,47.79,47.96,11.97,7.13,36.36,214.4,255.7,25.0,21.82,21.81,21.82,0.18,0.19,21.89,60.3,0.00,0.00,0.00,23.6,21.9,22.9,0,0,0.00,263.2,0.62,,
0.4169884,1:01:53 PM,0.0607,0.392,0.0087,34.84,34.80,34.99,22.38,47.71,47.79,47.69,11.97,7.13,36.36,214.4,255.7,25.0,21.82,21.81,21.82,0.18,0.19,21.89,60.3,0.00,0.00,0.00,23.6,21.9,23.4,0,0,0.00,263.2,0.62,,
0.5169738,1:01:53 PM,0.0607,0.392,0.0087,34.84,34.80,34.99,22.38,47.71,47.79,47.69,11.97,7.13,36.36,214.4,255.7,25.0,21.82,21.81,21.82,0.19,0.19,21.89,60.4,0.00,0.00,0.00,23.6,21.9,23.4,0,0,0.00,263.2,0.62,,
0.6170763,1:01:53 PM,0.0607,0.392,0.0087,34.84,34.80,34.99,22.38,47.71,47.79,47.69,22.44,7.13,36.36,214.4,255.7,25.0,21.82,21.81,21.82,0.19,0.19,21.89,60.4,0.00,0.00,0.00,23.6,21.9,23.4,0,0,0.00,263.2,0.62,,
0.7158956,1:01:54 PM,0.0607,0.392,0.0087,34.84,34.80,34.99,22.38,47.71,47.79,47.69,22.44,7.13,36.36,214.4,255.7,25.0,21.82,21.81,21.82,0.19,0.19,21.89,60.4,0.00,0.00,0.00,23.6,21.7,23.4,0,0,0.00,263.2,0.62,,
0.8158444,1:01:54 PM,0.0607,0.392,0.0087,34.84,34.80,34.99,22.38,47.71,47.79,47.69,22.44,7.13,36.36,214.4,255.7,25.0,21.82,21.81,21.82,0.19,0.19,21.89,60.4,0.00,0.00,0.00,23.6,21.7,23.2,0,0,0.00,263.2,0.62,,
0.9158232,1:01:54 PM,0.0607,0.392,0.0087,34.84,34.80,34.99,22.38,47.71,47.79,47.69,22.44,7.13,36.36,244.1,383.6,25.1,21.82,21.81,21.82,0.19,0.19,21.89,60.4,0.00,0.00,0.00,23.6,21.7,23.2,0,0,0.00,263.2,0.62,,
1.0157379,1:01:54 PM,0.0533,0.392,0.0013,34.84,34.80,34.99,22.38,47.71,47.79,47.69,22.44,7.13,36.36,244.1,383.6,25.1,21.82,21.81,21.82,0.19,0.19,21.89,60.4,0.00,0.00,0.00,23.6,21.7,23.2,0,0,0.00,263.2,0.62,,
1.1159024,1:01:54 PM,0.0533,0.392,0.0013,34.84,34.80,34.99,22.38,47.71,47.79,47.69,22.44,7.13,36.36,244.1,383.6,25.1,21.82,21.81,21.82,0.19,0.19,21.89,60.4,0.00,0.00,0.00,23.6,22.0,23.6,0,0,0.00,263.2,0.62,,
1.21423,1:01:54 PM,0.0533,0.392,0.0013,34.59,34.80,34.99,22.38,47.71,47.79,47.69,22.44,7.13,36.36,244.1,383.6,25.1,21.82,21.81,21.82,0.19,0.19,21.89,60.4,0.00,0.00,0.00,23.6,22.0,23.6,0,0,0.00,263.2,0.62,,
1.3161693,1:01:54 PM,0.0533,0.392,0.0013,34.59,34.80,34.99,22.38,47.71,47.79,47.69,22.44,7.13,36.36,244.1,383.6,25.1,21.82,21.81,21.82,0.17,0.19,21.89,60.4,0.00,0.00,0.00,23.6,22.0,23.6,0,0,0.00,263.2,0.62,,
1.4158995,1:01:54 PM,0.0533,0.392,0.0013,34.59,34.80,34.99,22.38,47.71,47.79,47.69,22.44,7.13,36.36,244.1,383.6,25.1,21.82,21.81,21.82,0.17,0.19,21.89,60.4,0.00,0.00,0.00,23.6,22.0,23.6,0,0,0.00,256.9,0.60,,
1.5158455,1:01:54 PM,0.0523,0.337,0.0003,34.59,34.80,34.99,22.38,47.71,47.79,47.69,22.44,7.13,36.36,244.1,383.6,25.1,21.82,21.81,21.82,0.17,0.17,21.89,60.4,0.00,0.00,0.00,23.7,22.0,23.6,0,0,0.00,256.9,0.60,,
1.615968,1:01:54 PM,0.0523,0.337,0.0003,34.59,34.80,34.99,22.38,47.71,47.79,47.69,22.44,7.13,36.36,244.1,383.6,25.1,21.82,21.81,21.82,0.17,0.17,21.89,60.4,0.00,0.00,0.00,23.7,22.0,23.6,0,0,0.00,256.9,0.60,,
1.7144117,1:01:55 PM,0.0523,0.337,0.0003,34.59,34.80,34.99,22.38,47.71,47.79,47.69,22.44,7.13,36.36,244.1,383.6,25.1,21.82,21.81,21.82,0.17,0.17,21.89,60.4,0.00,0.00,0.00,23.7,22.0,23.6,0,0,0.00,256.9,0.60,,
1.8153886,1:01:55 PM,0.0523,0.337,0.0003,34.59,34.80,34.99,22.38,48.04,47.60,47.57,22.44,7.13,36.36,244.1,383.6,25.1,21.82,21.81,21.82,0.17,0.17,21.89,60.4,0.00,0.00,0.00,23.7,22.0,23.6,0,0,0.00,256.9,0.60,,
1.9141171,1:01:55 PM,0.0523,0.337,0.0003,34.59,34.80,34.99,22.38,48.04,47.60,47.57,22.44,7.13,36.36,244.1,383.6,25.1,21.82,21.81,21.82,0.17,0.17,21.89,60.4,0.00,0.00,0.00,23.6,21.9,23.1,0,0,0.00,256.9,0.60,,
2.0140293,1:01:55 PM,0.0523,0.337,0.0003,34.59,34.80,34.99,22.38,48.04,47.60,47.57,22.44,7.13,36.36,244.1,383.6,25.1,21.82,21.81,21.82,0.17,0.17,21.89,60.4,0.00,0.00,0.00,23.6,21.9,23.1,0,0,0.00,256.9,0.60,,
2.1139774,1:01:55 PM,0.0523,0.337,0.0003,34.59,34.80,34.99,22.38,48.04,47.60,47.57,22.44,21.92,36.45,244.1,383.6,25.1,21.81,21.81,21.82,0.17,0.17,21.89,60.4,0.00,0.00,0.00,23.6,21.9,23.1,0,0,0.00,256.9,0.60,,
2.2139242,1:01:55 PM,0.0523,0.337,0.0003,34.59,34.80,34.99,22.38,48.04,47.60,47.57,22.44,21.92,36.45,244.1,383.6,25.1,21.81,21.81,21.82,0.17,0.16,21.89,60.4,0.00,0.00,0.00,23.6,21.9,23.1,0,0,0.00,256.9,0.60,,
2.3143122,1:01:55 PM,0.0523,0.337,0.0003,34.59,34.80,34.99,22.38,48.04,47.60,47.57,22.44,21.92,36.45,244.1,383.6,25.1,21.81,21.81,21.82,0.17,0.16,21.90,60.4,0.00,0.00,0.00,23.6,22.0,23.3,0,0,0.00,256.9,0.60,,
2.4142975,1:01:55 PM,0.0523,0.337,0.0003,34.59,34.80,34.99,22.38,48.04,47.60,47.57,22.44,21.92,36.45,457.3,483.6,25.0,21.81,21.81,21.82,0.17,0.16,21.90,60.4,0.00,0.00,0.00,23.6,22.0,23.3,0,0,0.00,256.9,0.60,,
2.5143557,1:01:55 PM,0.0279,0.180,-0.0241,34.59,34.80,34.99,22.38,48.04,47.60,47.57,22.44,21.92,36.45,457.3,483.6,25.0,21.81,21.81,21.82,0.16,0.16,21.90,60.4,0.00,0.00,0.00,23.6,22.0,23.3,0,0,0.00,256.9,0.60,,
2.6142701,1:01:55 PM,0.0279,0.180,-0.0241,34.59,34.80,34.99,22.38,48.04,47.60,47.57,22.44,21.92,36.45,457.3,483.6,25.0,21.81,21.81,21.82,0.16,0.16,21.90,60.4,0.00,0.00,0.00,23.6,22.0,23.3,0,0,0.00,256.9,0.60,,
2.7128001,1:01:56 PM,0.0279,0.180,-0.0241,34.46,34.69,34.99,22.38,48.04,47.60,47.57,22.44,21.92,36.45,457.3,483.6,25.0,21.81,21.81,21.82,0.16,0.16,21.90,60.4,0.00,0.00,0.00,23.6,21.9,23.5,0,0,0.00,256.9,0.60,,
2.8146539,1:01:56 PM,0.0279,0.180,-0.0241,34.46,34.69,34.99,22.38,48.04,47.60,47.57,22.44,21.92,36.45,457.3,483.6,25.0,21.81,21.81,21.82,0.16,0.16,21.90,60.4,0.00,0.00,0.00,23.6,21.9,23.5,0,0,0.00,256.9,0.60,,
2.9149617,1:01:56 PM,0.0279,0.180,-0.0241,34.46,34.69,34.99,22.38,48.04,47.60,47.57,22.44,21.92,36.45,457.3,483.6,25.0,21.81,21.81,21.82,0.16,0.16,21.90,60.4,0.00,0.00,0.00,23.6,21.9,23.5,0,0,0.00,249.6,0.58,,
3.012638,1:01:56 PM,0.0277,0.180,-0.0243,34.46,34.69,34.99,22.38,48.04,47.60,47.57,22.44,21.92,36.45,457.3,483.6,25.0,21.81,21.81,21.82,0.16,0.16,21.90,60.4,0.00,0.00,0.00,23.6,22.0,23.5,0,0,0.00,249.6,0.58,,
3.1149662,1:01:56 PM,0.0277,0.180,-0.0243,34.46,34.69,34.99,22.38,48.04,47.60,47.57,22.44,21.92,36.45,457.3,483.6,25.0,21.81,21.81,21.82,0.16,0.16,21.90,60.4,0.00,0.00,0.00,23.6,22.0,23.4,0,0,0.00,249.6,0.58,,
3.2160101,1:01:56 PM,0.0277,0.180,-0.0243,34.46,34.69,34.99,22.38,47.79,47.96,47.98,22.44,21.92,36.45,457.3,483.6,25.0,21.81,21.81,21.82,0.17,0.16,21.90,60.4,0.00,0.00,0.00,23.6,22.0,23.4,0,0,0.00,249.6,0.58,,
3.3158151,1:01:56 PM,0.0277,0.180,-0.0243,34.46,34.69,34.99,22.38,47.79,47.96,47.98,22.44,21.92,36.45,457.3,483.6,25.0,21.81,21.81,21.82,0.17,0.16,21.90,60.4,0.00,0.00,0.00,23.6,22.0,23.4,0,0,0.00,249.6,0.58,,
3.4157633,1:01:56 PM,0.0277,0.180,-0.0243,34.46,34.69,34.99,22.38,47.79,47.96,47.98,28.06,24.95,36.46,457.3,483.6,25.0,21.81,21.81,21.82,0.17,0.17,21.90,60.4,0.00,0.00,0.00,23.6,22.0,23.6,0,0,0.00,249.6,0.58,,
3.5157537,1:01:56 PM,0.0277,0.178,-0.0243,34.46,34.69,34.99,22.38,47.79,47.96,47.98,28.06,24.95,36.46,457.3,483.6,25.0,21.81,21.81,21.82,0.17,0.17,21.90,60.4,0.00,0.00,0.00,23.6,22.0,23.6,0,0,0.00,249.6,0.58,,
3.614174,1:01:56 PM,0.0277,0.178,-0.0243,34.46,34.69,34.99,22.38,47.79,47.96,47.98,28.06,24.95,36.46,457.3,483.6,25.0,21.81,21.81,21.82,0.17,0.17,21.90,60.4,0.00,0.00,0.00,23.6,22.0,23.6,0,0,0.00,249.6,0.58,,
3.7143997,1:01:57 PM,0.0277,0.178,-0.0243,34.46,34.69,34.99,22.38,47.79,47.96,47.98,28.06,24.95,36.46,457.3,483.6,25.0,21.81,21.81,21.82,0.17,0.17,21.90,60.4,0.00,0.00,0.00,23.6,22.0,23.6,0,0,0.00,249.6,0.58,,
3.8158935,1:01:57 PM,0.0277,0.178,-0.0243,34.46,34.69,34.99,22.38,47.79,47.96,47.98,28.06,24.95,36.46,571.9,522.5,25.0,21.81,21.81,21.82,0.17,0.17,21.90,60.4,0.00,0.00,0.00,23.6,22.0,23.3,0,0,0.00,249.6,0.58,,
3.9126588,1:01:57 PM,0.0277,0.178,-0.0243,34.46,34.69,34.99,22.38,47.79,47.96,47.98,28.06,24.95,36.46,571.9,522.5,25.0,21.81,21.81,21.82,0.17,0.17,21.90,60.4,0.00,0.00,0.00,23.6,22.0,23.3,0,0,0.00,249.6,0.58,,
4.0125807,1:01:57 PM,0.0221,0.178,-0.0299,34.46,34.69,34.99,22.38,47.79,47.96,47.98,28.06,24.95,36.46,571.9,522.5,25.0,21.81,21.81,21.82,0.17,0.17,21.90,60.5,0.00,0.00,0.00,23.6,22.0,23.3,0,0,0.00,249.6,0.58,,
4.1147092,1:01:57 PM,0.0221,0.178,-0.0299,34.46,34.62,34.99,22.38,47.79,47.96,47.98,28.06,24.95,36.46,571.9,522.5,25.0,21.81,21.81,21.82,0.17,0.16,21.90,60.5,0.00,0.00,0.00,23.6,22.0,23.3,0,0,0.00,249.6,0.58,,
4.2143767,1:01:57 PM,0.0221,0.178,-0.0299,34.46,34.62,34.99,22.38,47.79,47.96,47.98,28.06,24.95,36.46,571.9,522.5,25.0,21.81,21.81,21.82,0.17,0.16,21.89,60.5,0.00,0.00,0.00,23.6,22.0,23.3,0,0,0.00,249.6,0.57,,
4.3141775,1:01:57 PM,0.0221,0.178,-0.0299,34.46,34.62,34.99,22.38,47.79,47.96,47.98,28.06,24.95,36.46,571.9,522.5,25.0,21.81,21.81,21.82,0.17,0.16,21.89,60.5,0.00,0.00,0.00,23.6,22.0,23.3,0,0,0.00,242.7,0.57,,
4.4136362,1:01:57 PM,0.0221,0.178,-0.0299,34.46,34.62,34.99,22.38,47.79,47.96,47.98,28.06,24.95,36.46,571.9,522.5,25.0,21.81,21.81,21.82,0.16,0.16,21.89,60.5,0.00,0.00,0.00,23.6,22.0,23.3,0,0,0.00,242.7,0.57,,
4.5141888,1:01:57 PM,0.0221,0.143,-0.0299,34.46,34.62,34.99,22.38,47.79,47.96,47.98,28.06,24.95,36.46,571.9,522.5,25.0,21.81,21.81,21.82,0.16,0.16,21.89,60.5,0.00,0.00,0.00,23.6,22.0,23.3,0,0,0.00,242.7,0.57,,
