ThermDAC Version,device.map.iSGHP-DHS.29MAY19.xls,8/14/2019 2:39:50 PM
CalcsFile Version,3/31/2014 8:09:08 PM
[Test Data]
Format 2
Experiment Type:,dry
Test Date:,10/8/2019,12:37:48 PM
Logging Interval (min),0.00166666666666667
Datafile:,C:\Program Files (x86)\ThermDac8\DEV_ISGHP_DHS\Test Data\Kappler\DT-1.csv
Comments:,


Device Name,,Test Plate,Guard Ring,Lower Guard
RCT0,degC.m2/W,0.0520,,,
Surface Area,m2,0.0423,0.0475,1.0000,

,,Test Plate,Test Plate,Test Plate,Test Plate,Guard Ring,Lower Guard,Backside Cooling,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Test Plate,Guard Ring,Backside Cooling,Test Plate,Test Plate
Time,Clock,RCT,RCT CLO,RCF,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heater Voltage,Heater Voltage,Heater Voltage,Heater % On,Heater % On,Heater % On,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Amb Temp,Ambient Temp 1,Ambient Temp 2,Air Velocity,Raw Air Velocity,Chamber Temp,Amb RH,Heater % Out,Steam % Out,Fan % Output,Board Temp,Heater TC (Overtemp),Boiler TC (Overtemp),Flow Setpoint,Flow Setpoint,Cooler % Output,Heat Flux Measured,DHS Sensor Delta Temperature,EventText,SystemEventText
Seconds,,degC.m2/W,Clo,degC.m2/W,degC,degC,degC,degC,V,V,V,%,%,%,W/m2,W/m2,W/m2,degC,degC,degC,m/sec,m/sec,degC,%RH,%,%,%,degC,degC,degC,ml/(hr.m2),ml/(hr.m2),%,W/m2,degC
0.1166195,12:37:48 PM,0.0200,0.129,-0.0320,34.98,34.70,35.02,22.32,48.03,47.60,47.55,0.00,6.71,36.66,664.4,761.7,24.8,21.70,21.68,21.72,0.12,0.12,21.70,61.5,0.00,0.00,30.00,23.7,21.8,23.7,0,0,0.00,221.7,0.29,,
0.2140339,12:37:48 PM,0.0200,0.129,-0.0320,34.98,34.70,35.02,22.32,48.03,47.60,47.55,0.00,6.71,36.66,664.4,761.7,24.8,21.70,21.68,21.72,0.12,0.12,21.70,61.5,0.00,0.00,30.00,23.7,21.8,23.7,0,0,0.00,221.7,0.29,,
0.3139644,12:37:48 PM,0.0200,0.129,-0.0320,34.98,34.70,35.02,22.32,48.03,47.60,47.55,0.00,6.71,36.66,664.4,761.7,24.8,21.70,21.68,21.72,0.12,0.12,21.70,61.5,0.00,0.00,30.00,23.7,21.8,23.7,0,0,0.00,221.7,0.52,,
0.4139131,12:37:48 PM,0.0200,0.129,-0.0320,34.98,34.70,35.02,22.32,48.03,47.60,47.55,0.00,6.71,36.66,664.4,761.7,24.8,21.70,21.68,21.71,0.12,0.12,21.70,61.5,0.00,0.00,0.00,23.7,21.8,23.7,0,0,0.00,223.3,0.52,,
0.5138597,12:37:49 PM,0.0200,0.129,-0.0320,34.98,34.70,35.02,22.32,48.03,47.60,47.55,0.00,6.71,36.66,664.4,761.7,24.8,21.70,21.68,21.71,0.12,0.12,21.70,61.5,0.00,0.00,0.00,23.7,21.6,23.3,0,0,0.00,223.3,0.52,,
0.6138081,12:37:49 PM,0.0200,0.129,-0.0320,34.98,34.70,35.02,22.32,48.03,47.60,47.55,0.00,6.71,36.66,664.4,761.7,24.8,21.70,21.68,21.71,0.12,0.12,21.70,61.5,0.00,0.00,0.00,23.7,21.6,23.3,0,0,0.00,223.3,0.52,,
0.7137548,12:37:49 PM,0.0200,0.129,-0.0320,34.98,34.70,35.02,22.32,48.03,47.60,47.55,0.00,6.71,36.66,664.4,761.7,24.8,21.70,21.68,21.71,0.12,0.12,21.70,61.5,0.00,0.00,0.00,23.7,21.6,23.3,0,0,0.00,223.3,0.52,,
0.8137046,12:37:49 PM,0.0200,0.129,-0.0320,34.98,34.70,35.02,22.32,47.72,47.81,47.71,0.00,6.71,36.66,664.4,761.7,24.8,21.70,21.68,21.71,0.12,0.12,21.70,61.5,0.00,0.00,0.00,23.7,21.6,23.3,0,0,0.00,223.3,0.52,,
0.9136802,12:37:49 PM,0.0200,0.129,-0.0320,34.98,34.70,35.02,22.32,47.72,47.81,47.71,0.00,6.71,36.66,664.4,761.7,24.8,21.70,21.68,21.71,0.12,0.12,21.70,61.5,0.00,0.00,0.00,23.7,21.6,23.6,0,0,0.00,223.3,0.52,,
