ThermDAC Version,device.map.iSGHP-DHS.29MAY19.xls,8/14/2019 14:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CalcsFile Version,3/31/2014 20:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Test Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Format 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type:,dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Date:,10/8/2019,11:46:17 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logging Interval (min),0.001666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datafile:,C:\Program Files (x86)\ThermDac8\DEV_ISGHP_DHS\Test Data\Kappler\DT-3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Name,,Test Plate,Guard Ring,Lower Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCT0,degC.m2/W,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Area,m2,0.0423,0.0475,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Test Plate,Test Plate,Test Plate,Test Plate,Guard Ring,Lower Guard,Backside Cooling,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Test Plate,Guard Ring,Backside Cooling,Test Plate,Test Plate,,
Time,Clock,RCT,RCT CLO,RCF,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heater Voltage,Heater Voltage,Heater Voltage,Heater % On,Heater % On,Heater % On,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Amb Temp,Ambient Temp 1,Ambient Temp 2,Air Velocity,Raw Air Velocity,Chamber Temp,Amb RH,Heater % Out,Steam % Out,Fan % Output,Board Temp,Heater TC (Overtemp),Boiler TC (Overtemp),Flow Setpoint,Flow Setpoint,Cooler % Output,Heat Flux Measured,DHS Sensor Delta Temperature,EventText,SystemEventText
Seconds,,degC.m2/W,Clo,degC.m2/W,degC,degC,degC,degC,V,V,V,%,%,%,W/m2,W/m2,W/m2,degC,degC,degC,m/sec,m/sec,degC,%RH,%,%,%,degC,degC,degC,ml/(hr.m2),ml/(hr.m2),%,W/m2,degC,,
145.63772,11:48:43 AM,∞,∞,∞,35.52,35.13,34.98,22.47,47.91,47.91,47.96,0,5.85,37,0,129,25.4,21.56,21.56,21.55,0.1,0.1,21.58,62.1,0.44,0,0,23.8,21.8,24.1,0,0,0,101.6,0.24,,
145.7381209,11:48:43 AM,∞,∞,∞,35.52,35.13,34.98,22.47,47.91,47.91,47.96,0,5.85,37,0,129,25.4,21.56,21.56,21.55,0.1,0.1,21.58,62.1,0.44,0,0,23.8,21.8,24.1,0,0,0,101.6,0.24,,
145.8373296,11:48:43 AM,∞,∞,∞,35.51,35.13,34.98,22.47,47.91,47.91,47.96,0,5.85,37,0,129,25.4,21.56,21.56,21.55,0.1,0.09,21.58,62.1,0.44,0,0,23.8,21.8,24.1,0,0,0,101.6,0.24,,
145.9400306,11:48:43 AM,∞,∞,∞,35.51,35.13,34.98,22.47,47.91,47.91,47.96,0,5.85,37,0,129,25.4,21.56,21.56,21.55,0.1,0.09,21.58,62.1,0.44,0,0,23.8,21.8,24.2,0,0,0,101.6,0.24,,
146.0415303,11:48:43 AM,∞,∞,∞,35.51,35.13,34.98,22.46,47.91,47.91,47.96,0,5.85,37,0,129,25.4,21.56,21.56,21.55,0.09,0.09,21.58,62.1,0.44,0,0,23.8,21.8,24.2,0,0,0,101.3,0.24,,
146.1372358,11:48:43 AM,∞,∞,∞,35.51,35.13,34.98,22.46,47.91,47.91,47.96,0,5.85,37,0,129,25.4,21.56,21.56,21.55,0.09,0.09,21.58,62.1,0.44,0,0,23.8,21.8,24.2,0,0,0,101.3,0.24,,
146.2412341,11:48:43 AM,∞,∞,∞,35.51,35.13,34.98,22.46,47.91,47.91,47.96,0,5.85,37,0,129,25.4,21.56,21.56,21.55,0.09,0.09,21.58,62.1,0.44,0,0,23.8,21.9,23.7,0,0,0,101.3,0.24,,
146.340911,11:48:43 AM,∞,∞,∞,35.51,35.13,34.98,22.46,47.91,47.91,47.96,0,5.85,37,0,129,25.4,21.56,21.56,21.55,0.09,0.09,21.58,62.1,0.44,0,0,23.8,21.9,23.7,0,0,0,101.3,0.24,,
146.4413053,11:48:43 AM,∞,∞,∞,35.51,35.13,34.98,22.46,47.89,47.91,47.93,0,5.85,37,0,129,25.4,21.56,21.56,21.55,0.09,0.09,21.58,62.1,0.44,0,0,23.8,21.9,23.7,0,0,0,101.3,0.24,,
146.5380747,11:48:43 AM,∞,∞,∞,35.51,35.13,34.98,22.46,47.89,47.91,47.93,0,5.85,37,0,129,25.4,21.56,21.56,21.55,0.09,0.09,21.58,62.1,0.44,0,0,23.8,21.9,23.7,0,0,0,101.3,0.24,,
146.6374747,11:48:44 AM,∞,∞,∞,35.51,35.13,34.98,22.46,47.89,47.91,47.93,0,5.85,37.04,0,129,25.4,21.56,21.56,21.55,0.09,0.09,21.58,62.1,0.44,0,0,23.8,21.9,24.1,0,0,0,101.3,0.24,,
146.7381862,11:48:44 AM,∞,∞,∞,35.51,35.13,34.98,22.46,47.89,47.91,47.93,0,5.85,37.04,0,129,25.4,21.56,21.56,21.55,0.09,0.09,21.58,62.1,0.44,0,0,23.8,21.9,24.1,0,0,0,101.3,0.24,,
146.8400285,11:48:44 AM,∞,∞,∞,35.51,35.13,34.98,22.46,47.89,47.91,47.93,0,5.85,37.04,0,129,25.4,21.56,21.56,21.55,0.09,0.09,21.58,62.1,0.44,0,0,23.8,21.9,24.1,0,0,0,101.3,0.24,,
146.9419168,11:48:44 AM,∞,∞,∞,35.51,35.13,34.98,22.46,47.89,47.91,47.93,0,5.85,37.04,0,129,25.4,21.56,21.56,21.55,0.09,0.09,21.58,62.1,0.44,0,0,23.8,21.9,24.1,0,0,0,101.3,0.24,,
147.0390729,11:48:44 AM,∞,∞,∞,35.51,35.13,34.98,22.46,47.89,47.91,47.93,0,5.85,37.04,0,128.5,25.4,21.56,21.56,21.55,0.09,0.09,21.58,62.1,0.44,0,0,23.8,21.8,24.1,0,0,0,101.3,0.24,,
147.1407537,11:48:44 AM,∞,∞,∞,35.51,35.13,34.98,22.46,47.89,47.91,47.93,0,5.85,37.04,0,128.5,25.4,21.56,21.56,21.55,0.09,0.09,21.58,62.1,0.44,0,0,23.8,21.8,24.1,0,0,0,101.3,0.24,,
147.2393739,11:48:44 AM,∞,∞,∞,35.5,35.13,34.98,22.46,47.89,47.91,47.93,0,5.85,37.04,0,128.5,25.4,21.56,21.56,21.55,0.09,0.09,21.58,62.1,0.44,0,0,23.8,21.8,24.1,0,0,0,101.3,0.24,,
147.3379434,11:48:44 AM,∞,∞,∞,35.5,35.13,34.98,22.46,47.89,47.91,47.93,0,5.85,37.04,0,128.5,25.4,21.56,21.56,21.55,0.09,0.09,21.58,62.1,0.44,0,0,23.8,21.8,24.1,0,0,0,101.3,0.24,,
147.4396198,11:48:44 AM,∞,∞,∞,35.5,35.13,34.98,22.46,47.89,47.91,47.93,0,5.85,37.04,0,128.5,25.4,21.56,21.56,21.55,0.09,0.09,21.58,62.1,0.44,0,0,23.8,21.8,23.7,0,0,0,101.3,0.24,,
147.539115,11:48:44 AM,∞,∞,∞,35.5,35.13,34.98,22.46,47.89,47.91,47.93,0,5.85,37.04,0,128.5,25.4,21.56,21.56,21.55,0.09,0.09,21.58,62.1,0.44,0,0,23.8,21.8,23.7,0,0,0,101.6,0.24,,
147.642022,11:48:45 AM,∞,∞,∞,35.5,35.13,34.98,22.46,47.89,47.91,47.93,0,5.85,37.04,0,128.5,25.4,21.56,21.56,21.55,0.09,0.09,21.58,62.1,0.44,0,0,23.8,21.8,23.7,0,0,0,101.6,0.24,,
