ThermDAC Version,device.map.iSGHP-DHS.29MAY19.xls,8/14/2019 2:39:50 PM
CalcsFile Version,3/31/2014 8:09:08 PM
[Test Data]
Format 2
Experiment Type:,dry
Test Date:,10/8/2019,10:43:00 AM
Logging Interval (min),0.00166666666666667
Datafile:,C:\Program Files (x86)\ThermDac8\DEV_ISGHP_DHS\Test Data\Kappler\DT-5.csv
Comments:,


Device Name,,Test Plate,Guard Ring,Lower Guard
RCT0,degC.m2/W,0.0520,,,
Surface Area,m2,0.0423,0.0475,1.0000,

,,Test Plate,Test Plate,Test Plate,Test Plate,Guard Ring,Lower Guard,Backside Cooling,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Test Plate,Guard Ring,Backside Cooling,Test Plate,Test Plate
Time,Clock,RCT,RCT CLO,RCF,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heater Voltage,Heater Voltage,Heater Voltage,Heater % On,Heater % On,Heater % On,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Amb Temp,Ambient Temp 1,Ambient Temp 2,Air Velocity,Raw Air Velocity,Chamber Temp,Amb RH,Heater % Out,Steam % Out,Fan % Output,Board Temp,Heater TC (Overtemp),Boiler TC (Overtemp),Flow Setpoint,Flow Setpoint,Cooler % Output,Heat Flux Measured,DHS Sensor Delta Temperature,EventText,SystemEventText
Seconds,,degC.m2/W,Clo,degC.m2/W,degC,degC,degC,degC,V,V,V,%,%,%,W/m2,W/m2,W/m2,degC,degC,degC,m/sec,m/sec,degC,%RH,%,%,%,degC,degC,degC,ml/(hr.m2),ml/(hr.m2),%,W/m2,degC
0.1193508,10:43:00 AM,0.0589,0.380,0.0069,35.45,34.98,35.02,22.59,47.77,47.76,47.88,0.00,5.72,37.57,238.3,366.9,25.8,21.41,21.38,21.40,0.11,0.11,21.32,65.1,0.00,0.00,30.00,24.2,20.8,24.7,0,0,0.00,190.4,0.29,,
0.2192998,10:43:00 AM,0.0589,0.380,0.0069,35.45,34.98,35.02,22.59,47.77,47.76,47.88,0.00,5.72,37.57,222.6,366.3,25.8,21.41,21.38,21.40,0.11,0.11,21.32,65.1,0.00,0.00,30.00,24.2,20.6,24.7,0,0,0.00,190.4,0.29,,
0.3192457,10:43:00 AM,0.0589,0.380,0.0069,35.45,34.98,35.02,22.59,47.77,47.76,47.88,0.00,5.72,37.57,222.6,366.3,25.8,21.41,21.38,21.40,0.11,0.11,21.32,65.1,0.00,0.00,30.00,24.2,20.6,24.7,0,0,0.00,190.4,0.29,,
0.4191931,10:43:00 AM,0.0589,0.380,0.0069,35.45,35.03,35.02,22.59,47.77,47.76,47.88,0.00,5.72,37.57,222.6,366.3,25.8,21.41,21.38,21.40,0.11,0.11,21.32,65.1,0.00,0.00,30.00,24.2,20.6,24.7,0,0,0.00,190.4,0.29,,
0.5191391,10:43:00 AM,0.0631,0.380,0.0111,35.45,35.03,35.02,22.59,47.77,47.76,47.88,0.00,5.72,37.57,222.6,366.3,25.8,21.41,21.38,21.40,0.11,0.11,21.32,65.1,0.00,0.00,0.00,24.2,20.6,24.7,0,0,0.00,190.4,0.29,,
0.6190868,10:43:01 AM,0.0631,0.380,0.0111,35.45,35.03,35.02,22.59,47.77,47.76,47.88,0.00,5.72,37.57,222.6,366.3,25.8,21.41,21.38,21.40,0.11,0.11,21.32,65.1,0.00,0.00,0.00,24.2,20.5,25.4,0,0,0.00,189.7,0.44,,
0.7190335,10:43:01 AM,0.0631,0.380,0.0111,35.45,35.03,35.02,22.59,47.77,47.76,47.88,0.00,5.72,37.57,222.6,366.3,25.8,21.41,21.38,21.40,0.11,0.11,21.32,65.1,0.00,0.00,0.00,24.2,20.5,25.4,0,0,0.00,189.7,0.44,,
0.8189812,10:43:01 AM,0.0631,0.380,0.0111,35.45,35.03,35.02,22.59,47.77,47.76,47.88,0.00,5.72,37.57,222.6,366.3,25.8,21.41,21.38,21.40,0.11,0.11,21.32,65.0,0.00,0.00,0.00,24.2,20.5,25.4,0,0,0.00,189.7,0.44,,
0.9189582,10:43:01 AM,0.0631,0.380,0.0111,35.45,35.03,35.02,22.59,47.77,47.76,47.88,0.00,5.72,37.57,222.6,366.3,25.8,21.41,21.38,21.40,0.11,0.11,21.32,65.0,0.00,0.00,0.00,24.2,20.5,25.4,0,0,0.00,189.7,0.44,,
1.0188749,10:43:01 AM,0.0631,0.407,0.0111,35.45,35.03,35.02,22.59,47.77,47.76,47.88,0.00,5.72,37.57,222.6,366.3,25.8,21.41,21.38,21.40,0.11,0.11,21.35,65.0,0.00,0.00,0.00,24.1,20.6,24.6,0,0,0.00,189.7,0.44,,
1.1188199,10:43:01 AM,0.0631,0.407,0.0111,35.45,35.03,35.02,22.59,47.91,47.91,47.94,0.00,5.72,37.57,222.6,366.3,25.8,21.41,21.38,21.40,0.11,0.11,21.35,65.0,0.00,0.00,0.00,24.1,20.6,24.6,0,0,0.00,189.7,0.44,,
1.2187669,10:43:01 AM,0.0631,0.407,0.0111,35.45,35.03,35.02,22.59,47.91,47.91,47.94,9.11,14.88,37.46,222.6,366.3,25.8,21.41,21.38,21.40,0.11,0.11,21.35,65.0,0.00,0.00,0.00,24.1,20.6,24.6,0,0,0.00,189.7,0.44,,
1.3187157,10:43:01 AM,0.0631,0.407,0.0111,35.45,35.03,35.02,22.59,47.91,47.91,47.94,9.11,14.88,37.46,222.6,366.3,25.8,21.41,21.38,21.40,0.11,0.11,21.35,65.0,0.00,0.00,0.00,24.1,20.6,24.6,0,0,0.00,189.7,0.44,,
1.4186623,10:43:01 AM,0.0631,0.407,0.0111,35.45,35.03,35.02,22.59,47.91,47.91,47.94,9.11,14.88,37.46,222.6,366.3,25.8,21.41,21.38,21.40,0.11,0.11,21.35,65.0,0.00,0.00,0.00,24.1,20.7,24.7,0,0,0.00,189.7,0.44,,
1.5186085,10:43:01 AM,0.0631,0.407,0.0111,35.45,35.03,35.02,22.59,47.91,47.91,47.94,9.11,14.88,37.46,222.6,366.3,25.8,21.41,21.38,21.40,0.11,0.11,21.35,65.0,0.00,0.00,0.00,24.1,20.7,24.7,0,0,0.00,189.7,0.44,,
1.6185562,10:43:02 AM,0.0631,0.407,0.0111,35.45,35.03,35.02,22.59,47.91,47.91,47.94,9.11,14.88,37.46,199.3,326.5,25.8,21.41,21.38,21.40,0.11,0.11,21.35,65.0,0.00,0.00,0.00,24.1,20.7,24.7,0,0,0.00,189.7,0.44,,
1.7185025,10:43:02 AM,0.0631,0.407,0.0111,35.45,35.03,35.02,22.59,47.91,47.91,47.94,9.11,14.88,37.46,199.3,326.5,25.8,21.41,21.38,21.40,0.11,0.11,21.35,65.0,0.00,0.00,0.00,24.1,20.5,24.7,0,0,0.00,189.7,0.44,,
1.8184493,10:43:02 AM,0.0631,0.407,0.0111,35.49,35.03,35.02,22.59,47.91,47.91,47.94,9.11,14.88,37.46,199.3,326.5,25.8,21.41,21.38,21.40,0.11,0.11,21.35,65.0,0.00,0.00,0.00,24.2,20.5,24.8,0,0,0.00,189.7,0.44,,
