ThermDAC Version,device.map.iSGHP-DHS.29MAY19.xls,8/14/2019 2:39:50 PM
CalcsFile Version,3/31/2014 8:09:08 PM
[Test Data]
Format 2
Experiment Type:,dry
Test Date:,10/8/2019,12:18:45 PM
Logging Interval (min),0.00166666666666667
Datafile:,C:\Program Files (x86)\ThermDac8\DEV_ISGHP_DHS\Test Data\Kappler\PVC-1.csv
Comments:,


Device Name,,Test Plate,Guard Ring,Lower Guard
RCT0,degC.m2/W,0.0520,,,
Surface Area,m2,0.0423,0.0475,1.0000,

,,Test Plate,Test Plate,Test Plate,Test Plate,Guard Ring,Lower Guard,Backside Cooling,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Test Plate,Guard Ring,Backside Cooling,Test Plate,Test Plate
Time,Clock,RCT,RCT CLO,RCF,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heater Voltage,Heater Voltage,Heater Voltage,Heater % On,Heater % On,Heater % On,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Amb Temp,Ambient Temp 1,Ambient Temp 2,Air Velocity,Raw Air Velocity,Chamber Temp,Amb RH,Heater % Out,Steam % Out,Fan % Output,Board Temp,Heater TC (Overtemp),Boiler TC (Overtemp),Flow Setpoint,Flow Setpoint,Cooler % Output,Heat Flux Measured,DHS Sensor Delta Temperature,EventText,SystemEventText
Seconds,,degC.m2/W,Clo,degC.m2/W,degC,degC,degC,degC,V,V,V,%,%,%,W/m2,W/m2,W/m2,degC,degC,degC,m/sec,m/sec,degC,%RH,%,%,%,degC,degC,degC,ml/(hr.m2),ml/(hr.m2),%,W/m2,degC
0.1176452,12:18:46 PM,0.0126,0.081,-0.0394,34.58,33.95,35.01,22.41,47.93,47.93,47.94,52.59,60.10,36.52,1063.8,1316.7,24.7,21.72,21.71,21.74,0.10,0.10,21.73,61.5,0.00,0.00,30.00,23.7,21.6,23.5,0,0,0.00,356.4,0.84,,
0.2178973,12:18:46 PM,0.0126,0.081,-0.0394,34.38,33.73,35.01,22.41,47.93,47.93,47.94,52.59,60.10,36.52,1063.8,1316.7,24.7,21.72,21.71,21.74,0.10,0.10,21.73,61.5,0.00,0.00,30.00,23.7,21.8,23.7,0,0,0.00,356.4,0.84,,
0.3194907,12:18:46 PM,0.0126,0.081,-0.0394,34.38,33.73,35.01,22.41,47.93,47.93,47.94,52.59,60.10,36.52,1063.8,1316.7,24.7,21.72,21.71,21.74,0.10,0.10,21.73,61.5,0.00,0.00,30.00,23.7,21.8,23.7,0,0,0.00,356.4,0.84,,
0.4194389,12:18:46 PM,0.0126,0.081,-0.0394,34.38,33.73,35.01,22.41,47.93,47.93,47.94,52.59,60.10,36.52,1063.8,1316.7,24.7,21.72,21.71,21.74,0.10,0.10,21.73,61.5,0.00,0.00,30.00,23.7,21.8,23.7,0,0,0.00,356.4,0.84,,
0.5193879,12:18:46 PM,0.0119,0.081,-0.0401,34.38,33.73,35.01,22.41,47.93,47.93,47.94,52.59,60.10,36.52,1063.8,1316.7,24.7,21.72,21.71,21.74,0.10,0.10,21.73,61.5,0.00,0.00,0.00,23.7,21.8,23.7,0,0,0.00,348.1,0.82,,
0.6193358,12:18:46 PM,0.0119,0.081,-0.0401,34.38,33.73,35.01,22.41,47.93,47.93,47.94,52.59,60.10,36.52,1063.8,1316.7,24.7,21.72,21.71,21.74,0.10,0.10,21.73,61.5,0.00,0.00,0.00,23.7,22.1,23.7,0,0,0.00,348.1,0.82,,
0.7192915,12:18:46 PM,0.0119,0.081,-0.0401,34.38,33.73,35.01,22.41,47.93,47.93,47.94,52.59,60.10,36.52,1063.8,1316.7,24.7,21.72,21.71,21.74,0.10,0.10,21.73,61.5,0.00,0.00,0.00,23.7,22.1,23.7,0,0,0.00,348.1,0.82,,
0.8200027,12:18:46 PM,0.0119,0.081,-0.0401,34.38,33.73,35.01,22.41,47.93,47.93,47.94,52.59,60.10,36.52,1063.8,1316.7,24.7,21.72,21.71,21.74,0.10,0.10,21.73,61.5,0.00,0.00,0.00,23.7,22.1,23.7,0,0,0.00,348.1,0.82,,
0.9153832,12:18:46 PM,0.0119,0.081,-0.0401,34.38,33.73,35.01,22.41,47.89,47.54,47.35,52.59,60.10,36.52,1063.8,1316.7,24.7,21.72,21.71,21.74,0.10,0.10,21.73,61.5,0.00,0.00,0.00,23.7,22.1,23.7,0,0,0.00,348.1,0.82,,
1.0191606,12:18:46 PM,0.0119,0.077,-0.0401,34.38,33.73,35.01,22.41,47.89,47.54,47.35,52.59,60.10,36.52,1063.8,1316.7,24.7,21.72,21.71,21.74,0.10,0.10,21.73,61.5,0.00,0.00,0.00,23.7,21.8,23.6,0,0,0.00,348.1,0.82,,
1.1200093,12:18:47 PM,0.0119,0.077,-0.0401,34.38,33.73,35.01,22.41,47.89,47.54,47.35,60.88,66.85,36.53,1063.8,1316.7,24.7,21.72,21.71,21.74,0.10,0.10,21.75,61.5,0.00,0.00,0.00,23.7,21.8,23.6,0,0,0.00,348.1,0.82,,
1.215285,12:18:47 PM,0.0119,0.077,-0.0401,34.38,33.73,35.01,22.41,47.89,47.54,47.35,60.88,66.85,36.53,1063.8,1316.7,24.7,21.72,21.71,21.74,0.10,0.10,21.75,61.6,0.00,0.00,0.00,23.7,21.8,23.6,0,0,0.00,348.1,0.82,,
1.315462,12:18:47 PM,0.0119,0.077,-0.0401,34.38,33.73,35.01,22.41,47.89,47.54,47.35,60.88,66.85,36.53,1063.8,1316.7,24.7,21.72,21.71,21.74,0.10,0.10,21.75,61.6,0.00,0.00,0.00,23.7,21.8,23.6,0,0,0.00,348.1,0.82,,
1.4161631,12:18:47 PM,0.0119,0.077,-0.0401,34.38,33.73,35.01,22.41,47.89,47.54,47.35,60.88,66.85,36.53,1232.2,1403.5,24.9,21.72,21.71,21.74,0.10,0.10,21.75,61.6,0.00,0.00,0.00,23.7,21.8,23.8,0,0,0.00,348.1,0.82,,
1.5176204,12:18:47 PM,0.0103,0.077,-0.0417,34.38,33.73,35.01,22.41,47.89,47.54,47.35,60.88,66.85,36.53,1232.2,1403.5,24.9,21.72,21.71,21.74,0.10,0.10,21.75,61.6,0.00,0.00,0.00,23.7,21.8,23.8,0,0,0.00,348.1,0.82,,
