ThermDAC Version,device.map.iSGHP-DHS.29MAY19.xls,8/14/2019 14:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CalcsFile Version,3/31/2014 20:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Test Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Format 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type:,dry cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Date:,10/8/2019,11:54:10 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logging Interval (min),0.001666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datafile:,C:\Program Files (x86)\ThermDac8\DEV_ISGHP_DHS\Test Data\Kappler\PVC-2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Name,,Test Plate,Guard Ring,Lower Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCT0,degC.m2/W,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Area,m2,0.0423,0.0475,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Test Plate,Test Plate,Test Plate,Guard Ring,Lower Guard,Backside Cooling,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Test Plate,Guard Ring,Backside Cooling,Test Plate,Test Plate,,
Time,Clock,dRCT,dRCF,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heater Voltage,Heater Voltage,Heater Voltage,Heater % On,Heater % On,Heater % On,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Amb Temp,Ambient Temp 1,Ambient Temp 2,Air Velocity,Raw Air Velocity,Chamber Temp,Amb RH,Heater % Out,Steam % Out,Fan % Output,Board Temp,Heater TC (Overtemp),Boiler TC (Overtemp),Flow Setpoint,Flow Setpoint,Cooler % Output,Heat Flux Measured,DHS Sensor Delta Temperature,EventText,SystemEventText
Seconds,,degC.m2/W,degC.m2/W,degC,degC,degC,degC,V,V,V,%,%,%,W/m2,W/m2,W/m2,degC,degC,degC,m/sec,m/sec,degC,%RH,%,%,%,degC,degC,degC,ml/(hr.m2),ml/(hr.m2),%,W/m2,degC,,
0.1200626,11:54:10 AM,0.0933,0.0413,35.79,35.3,34.99,22.34,47.93,47.93,47.94,11.37,14.42,37.99,230.3,359.1,26.1,21.52,21.51,21.53,0.12,0.12,21.52,62.8,0,0,30,23.8,21.4,24,0,0,0,332.7,0.78,,
0.21519,11:54:10 AM,0.0933,0.0413,35.79,35.3,34.99,22.34,47.93,47.93,47.94,11.37,14.42,37.99,230.3,359.1,26.1,21.52,21.51,21.53,0.12,0.12,21.52,62.8,0,0,30,23.8,21.4,24,0,0,0,332.7,0.78,,
0.3203189,11:54:10 AM,0.0933,0.0413,35.79,35.3,34.99,22.34,47.93,47.93,47.94,11.37,14.42,37.99,230.3,359.1,26.1,21.52,21.5,21.53,0.12,0.12,21.52,62.8,0,0,0,23.8,21.4,24,0,0,0,328.1,0.77,,
0.4200456,11:54:10 AM,0.0933,0.0413,35.79,35.3,34.99,22.34,47.93,47.93,47.94,11.37,14.42,37.99,230.3,359.1,26.1,21.52,21.5,21.53,0.12,0.12,21.52,62.8,0,0,0,23.8,21.3,24.2,0,0,0,328.1,0.77,,
0.5200255,11:54:10 AM,0.0435,-0.0085,35.79,35.3,34.99,22.34,47.93,47.93,47.94,11.37,14.42,37.99,230.3,359.1,26.1,21.52,21.5,21.53,0.12,0.12,21.52,62.7,0,0,0,23.8,21.3,24.2,0,0,0,328.1,0.77,,
0.6199429,11:54:10 AM,0.0933,0.0413,35.79,35.3,34.99,22.34,47.93,47.93,47.94,11.37,14.42,37.99,230.3,359.1,26.1,21.52,21.5,21.53,0.12,0.12,21.52,62.7,0,0,0,23.8,21.3,24.2,0,0,0,328.1,0.77,,
0.7198904,11:54:10 AM,0.0933,0.0413,35.79,35.3,34.99,22.34,47.79,47.76,47.88,11.37,14.42,37.99,230.3,359.1,26.1,21.52,21.5,21.53,0.12,0.12,21.52,62.7,0,0,0,23.8,21.3,24.2,0,0,0,328.1,0.77,,
0.819808,11:54:11 AM,0.0933,0.0413,35.79,35.3,34.99,22.34,47.79,47.76,47.88,11.37,14.42,37.99,230.3,359.1,26.1,21.52,21.5,21.53,0.12,0.12,21.53,62.7,0,0,0,23.8,21.7,23.8,0,0,0,328.1,0.77,,
0.9157984,11:54:11 AM,0.0933,0.0413,35.79,35.3,34.99,22.34,47.79,47.76,47.88,6.77,14.42,37.97,230.3,359.1,26.1,21.52,21.5,21.53,0.12,0.12,21.53,62.7,0,0,0,23.8,21.7,23.8,0,0,0,328.1,0.77,,
1.0201721,11:54:11 AM,0.0435,-0.0085,35.79,35.3,34.99,22.34,47.79,47.76,47.88,6.77,14.42,37.97,230.3,359.1,26.1,21.52,21.5,21.53,0.12,0.12,21.53,62.7,0,0,0,23.8,21.7,23.8,0,0,0,328.1,0.77,,
1.1154182,11:54:11 AM,0.0933,0.0413,35.79,35.3,34.99,22.34,47.79,47.76,47.88,6.77,14.42,37.97,230.3,359.1,26.1,21.52,21.5,21.53,0.12,0.12,21.53,62.7,0,0,0,23.8,21.5,23.7,0,0,0,328.1,0.77,,
1.2159048,11:54:11 AM,0.0933,0.0413,35.79,35.3,34.99,22.34,47.79,47.76,47.88,6.77,14.42,37.97,156.6,318.5,26.1,21.52,21.5,21.53,0.12,0.12,21.53,62.7,0,0,0,23.8,21.5,23.7,0,0,0,328.1,0.77,,
1.3198668,11:54:11 AM,0.0933,0.0413,35.79,35.3,34.99,22.34,47.79,47.76,47.88,6.77,14.42,37.97,156.6,318.5,26.1,21.52,21.5,21.53,0.12,0.12,21.53,62.7,0,0,0,23.8,21.5,23.7,0,0,0,328.1,0.77,,
1.4152503,11:54:11 AM,0.0933,0.0413,35.79,35.3,34.99,22.34,47.79,47.76,47.88,6.77,14.42,37.97,156.6,318.5,26.1,21.52,21.5,21.53,0.12,0.12,21.53,62.7,0,0,0,23.8,21.5,23.7,0,0,0,328.1,0.77,,
1.519161,11:54:11 AM,0.0438,-0.0082,35.89,35.4,34.99,22.34,47.79,47.76,47.88,6.77,14.42,37.97,156.6,318.5,26.1,21.52,21.5,21.52,0.12,0.12,21.53,62.7,0,0,0,23.8,21.7,23.8,0,0,0,328.1,0.77,,
1.6152079,11:54:11 AM,0.0933,0.0413,35.89,35.4,34.99,22.34,47.79,47.76,47.88,6.77,14.42,37.97,156.6,318.5,26.1,21.52,21.5,21.52,0.12,0.12,21.53,62.7,0,0,0,23.8,21.7,23.8,0,0,0,328.1,0.77,,
1.7193321,11:54:11 AM,0.0933,0.0413,35.89,35.4,34.99,22.34,47.79,47.76,47.88,6.77,14.42,37.97,156.6,318.5,26.1,21.52,21.5,21.52,0.12,0.12,21.53,62.7,0,0,0,23.8,21.7,23.8,0,0,0,321.3,0.75,,
1.8153234,11:54:12 AM,0.0933,0.0413,35.89,35.4,34.99,22.34,47.79,47.76,47.88,6.77,14.42,37.97,156.6,318.5,26.1,21.52,21.5,21.52,0.12,0.12,21.53,62.7,0,0,0,23.8,21.7,23.8,0,0,0,321.3,0.75,,
1.9194675,11:54:12 AM,0.0933,0.0413,35.89,35.4,34.99,22.34,47.79,47.76,47.88,6.77,14.42,37.97,156.6,318.5,26.1,21.52,21.5,21.52,0.12,0.12,21.53,62.7,0,0,0,23.8,21.5,23.5,0,0,0,321.3,0.75,,
2.0198796,11:54:12 AM,0.0447,-0.0073,35.89,35.4,34.99,22.34,47.79,47.76,47.88,6.77,14.42,37.97,156.6,318.5,26.1,21.52,21.5,21.52,0.12,0.12,21.53,62.7,0,0,0,23.8,21.5,23.5,0,0,0,321.3,0.75,,
