ThermDAC Version,device.map.iSGHP-DHS.29MAY19.xls,8/14/2019 2:39:50 PM
CalcsFile Version,3/31/2014 8:09:08 PM
[Test Data]
Format 2
Experiment Type:,dry
Test Date:,10/8/2019,11:28:57 AM
Logging Interval (min),0.00166666666666667
Datafile:,C:\Program Files (x86)\ThermDac8\DEV_ISGHP_DHS\Test Data\Kappler\PVC-3.csv
Comments:,


Device Name,,Test Plate,Guard Ring,Lower Guard
RCT0,degC.m2/W,0.0520,,,
Surface Area,m2,0.0423,0.0475,1.0000,

,,Test Plate,Test Plate,Test Plate,Test Plate,Guard Ring,Lower Guard,Backside Cooling,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Test Plate,Guard Ring,Backside Cooling,Test Plate,Test Plate
Time,Clock,RCT,RCT CLO,RCF,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heater Voltage,Heater Voltage,Heater Voltage,Heater % On,Heater % On,Heater % On,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Amb Temp,Ambient Temp 1,Ambient Temp 2,Air Velocity,Raw Air Velocity,Chamber Temp,Amb RH,Heater % Out,Steam % Out,Fan % Output,Board Temp,Heater TC (Overtemp),Boiler TC (Overtemp),Flow Setpoint,Flow Setpoint,Cooler % Output,Heat Flux Measured,DHS Sensor Delta Temperature,EventText,SystemEventText
Seconds,,degC.m2/W,Clo,degC.m2/W,degC,degC,degC,degC,V,V,V,%,%,%,W/m2,W/m2,W/m2,degC,degC,degC,m/sec,m/sec,degC,%RH,%,%,%,degC,degC,degC,ml/(hr.m2),ml/(hr.m2),%,W/m2,degC
0.1159446,11:28:57 AM,∞,∞,∞,33.99,33.60,35.01,22.53,47.94,47.94,47.96,74.09,74.78,36.57,1497.1,1630.7,24.6,21.60,21.59,21.61,0.12,0.12,21.71,62.1,0.00,0.00,30.00,23.9,21.7,24.3,0,0,0.00,359.1,0.84,,
0.2158893,11:28:57 AM,∞,∞,∞,33.99,33.60,35.01,22.53,47.94,47.94,47.96,74.09,74.78,36.57,1497.1,1630.7,24.6,21.60,21.60,21.61,0.12,0.12,21.71,62.1,0.00,0.00,0.00,23.9,21.7,24.3,0,0,0.00,359.1,0.84,,
0.3159548,11:28:57 AM,∞,∞,∞,33.99,33.60,35.01,22.53,47.94,47.94,47.96,74.09,74.78,36.57,1497.1,1630.7,24.6,21.60,21.60,21.61,0.12,0.12,21.71,62.1,0.00,0.00,0.00,23.9,21.8,23.8,0,0,0.00,351.6,0.82,,
0.4159021,11:28:57 AM,∞,∞,∞,33.99,33.60,35.01,22.53,47.94,47.94,47.96,74.09,74.78,36.57,1497.1,1630.7,24.6,21.60,21.60,21.61,0.12,0.12,21.71,62.1,0.00,0.00,0.00,23.9,21.8,23.8,0,0,0.00,351.6,0.82,,
0.5158475,11:28:57 AM,0.0083,0.053,-0.0437,33.99,33.60,35.01,22.53,47.94,47.94,47.96,74.09,74.78,36.57,1497.1,1630.7,24.6,21.60,21.60,21.61,0.12,0.12,21.71,62.3,0.00,0.00,0.00,23.9,21.8,23.8,0,0,0.00,351.6,0.82,,
0.6157944,11:28:57 AM,∞,∞,∞,33.99,33.60,35.01,22.53,47.94,47.94,47.96,74.09,74.78,36.57,1497.1,1630.7,24.6,21.60,21.60,21.61,0.12,0.12,21.71,62.3,0.00,0.00,0.00,23.9,21.8,23.8,0,0,0.00,351.6,0.82,,
0.7157413,11:28:57 AM,∞,∞,∞,33.99,33.60,35.01,22.53,47.94,47.94,47.96,74.09,74.78,36.57,1497.1,1630.7,24.6,21.60,21.60,21.61,0.12,0.12,21.71,62.3,0.00,0.00,0.00,23.9,21.8,23.8,0,0,0.00,351.6,0.82,,
0.815688,11:28:57 AM,∞,∞,∞,33.99,33.60,35.01,22.53,47.94,47.94,47.96,74.09,74.78,36.57,1497.1,1630.7,24.6,21.60,21.60,21.61,0.12,0.12,21.71,62.3,0.00,0.00,0.00,23.9,21.8,23.8,0,0,0.00,351.6,0.82,,
0.9122673,11:28:58 AM,∞,∞,∞,33.99,33.60,35.01,22.53,47.94,47.94,47.96,74.09,74.78,36.57,1497.1,1630.7,24.6,21.60,21.60,21.61,0.12,0.12,21.71,62.3,0.00,0.00,0.00,23.9,21.8,23.8,0,0,0.00,351.6,0.82,,
