ThermDAC Version,device.map.iSGHP-DHS.29MAY19.xls,8/14/2019 2:39:50 PM
CalcsFile Version,3/31/2014 8:09:08 PM
[Test Data]
Format 2
Experiment Type:,dry
Test Date:,10/8/2019,1:09:27 PM
Logging Interval (min),0.00166666666666667
Datafile:,C:\Program Files (x86)\ThermDac8\DEV_ISGHP_DHS\Test Data\Kappler\PVC-4 upd.csv
Comments:,


Device Name,,Test Plate,Guard Ring,Lower Guard
RCT0,degC.m2/W,0.0520,,,
Surface Area,m2,0.0423,0.0475,1.0000,

,,Test Plate,Test Plate,Test Plate,Test Plate,Guard Ring,Lower Guard,Backside Cooling,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Test Plate,Guard Ring,Backside Cooling,Test Plate,Test Plate
Time,Clock,RCT,RCT CLO,RCF,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heater Voltage,Heater Voltage,Heater Voltage,Heater % On,Heater % On,Heater % On,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Amb Temp,Ambient Temp 1,Ambient Temp 2,Air Velocity,Raw Air Velocity,Chamber Temp,Amb RH,Heater % Out,Steam % Out,Fan % Output,Board Temp,Heater TC (Overtemp),Boiler TC (Overtemp),Flow Setpoint,Flow Setpoint,Cooler % Output,Heat Flux Measured,DHS Sensor Delta Temperature,EventText,SystemEventText
Seconds,,degC.m2/W,Clo,degC.m2/W,degC,degC,degC,degC,V,V,V,%,%,%,W/m2,W/m2,W/m2,degC,degC,degC,m/sec,m/sec,degC,%RH,%,%,%,degC,degC,degC,ml/(hr.m2),ml/(hr.m2),%,W/m2,degC
0.1239248,1:09:27 PM,0.3851,2.484,0.3331,35.40,35.25,35.00,22.35,47.91,47.91,47.93,1.76,7.22,36.46,35.8,145.6,25.1,21.61,21.62,21.61,0.19,0.19,21.58,61.9,0.19,0.00,30.00,23.7,22.0,23.1,0,0,0.00,232.7,0.55,,
0.2238698,1:09:27 PM,0.3851,2.484,0.3331,35.40,35.25,35.00,22.35,47.91,47.91,47.93,1.76,7.22,36.46,35.8,145.6,25.1,21.61,21.62,21.61,0.19,0.19,21.58,61.9,0.19,0.00,30.00,23.7,22.0,23.1,0,0,0.00,232.7,0.55,,
0.3237705,1:09:27 PM,0.3851,2.484,0.3331,35.40,35.25,35.00,22.35,47.91,47.91,47.93,1.76,7.22,36.46,35.8,145.6,25.1,21.61,21.62,21.61,0.19,0.19,21.58,61.9,0.19,0.00,0.00,23.7,22.0,23.1,0,0,0.00,232.7,0.55,,
0.4236447,1:09:27 PM,0.3851,2.484,0.3331,35.40,35.25,35.00,22.35,47.91,47.91,47.93,3.79,7.22,36.46,35.8,145.6,25.1,21.61,21.62,21.61,0.19,0.19,21.58,61.9,0.19,0.00,0.00,23.7,21.8,23.5,0,0,0.00,232.7,0.55,,
0.5205984,1:09:27 PM,0.3851,2.484,0.3331,35.40,35.25,35.00,22.35,47.91,47.91,47.93,3.79,7.22,36.46,35.8,145.6,25.1,21.61,21.62,21.61,0.19,0.19,21.58,61.9,0.19,0.00,0.00,23.7,21.8,23.5,0,0,0.00,232.7,0.55,,
0.6214499,1:09:27 PM,0.3851,2.484,0.3331,35.40,35.25,35.00,22.35,47.91,47.91,47.93,3.79,7.22,36.46,35.8,145.6,25.1,21.61,21.62,21.61,0.19,0.19,21.58,61.9,0.19,0.00,0.00,23.7,21.8,23.5,0,0,0.00,232.7,0.55,,
0.7206573,1:09:28 PM,0.3851,2.484,0.3331,35.40,35.25,35.00,22.35,47.91,47.91,47.93,3.79,7.22,36.46,35.8,145.6,25.1,21.61,21.62,21.61,0.19,0.19,21.58,61.9,0.00,0.00,0.00,23.7,21.8,23.5,0,0,0.00,232.7,0.55,,
0.8190263,1:09:28 PM,0.3851,2.484,0.3331,35.40,35.25,35.00,22.35,47.91,47.91,47.93,3.79,7.22,36.46,77.1,246.2,25.0,21.61,21.62,21.61,0.19,0.19,21.58,61.9,0.00,0.00,0.00,23.7,22.0,23.0,0,0,0.00,232.7,0.55,,
0.919687,1:09:28 PM,0.3851,2.484,0.3331,35.40,35.25,35.00,22.35,47.91,47.91,47.93,3.79,7.22,36.46,77.1,246.2,25.0,21.61,21.62,21.61,0.19,0.19,21.58,61.9,0.00,0.00,0.00,23.7,22.0,23.0,0,0,0.00,232.7,0.55,,
