ThermDAC Version,device.map.iSGHP-DHS.29MAY19.xls,8/14/2019 2:39:50 PM
CalcsFile Version,3/31/2014 8:09:08 PM
[Test Data]
Format 2
Experiment Type:,dry
Test Date:,10/8/2019,12:49:32 PM
Logging Interval (min),0.00166666666666667
Datafile:,C:\Program Files (x86)\ThermDac8\DEV_ISGHP_DHS\Test Data\Kappler\PVC-5 upd2.csv
Comments:,


Device Name,,Test Plate,Guard Ring,Lower Guard
RCT0,degC.m2/W,0.0520,,,
Surface Area,m2,0.0423,0.0475,1.0000,

,,Test Plate,Test Plate,Test Plate,Test Plate,Guard Ring,Lower Guard,Backside Cooling,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Test Plate,Guard Ring,Backside Cooling,Test Plate,Test Plate
Time,Clock,RCT,RCT CLO,RCF,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heater Voltage,Heater Voltage,Heater Voltage,Heater % On,Heater % On,Heater % On,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Amb Temp,Ambient Temp 1,Ambient Temp 2,Air Velocity,Raw Air Velocity,Chamber Temp,Amb RH,Heater % Out,Steam % Out,Fan % Output,Board Temp,Heater TC (Overtemp),Boiler TC (Overtemp),Flow Setpoint,Flow Setpoint,Cooler % Output,Heat Flux Measured,DHS Sensor Delta Temperature,EventText,SystemEventText
Seconds,,degC.m2/W,Clo,degC.m2/W,degC,degC,degC,degC,V,V,V,%,%,%,W/m2,W/m2,W/m2,degC,degC,degC,m/sec,m/sec,degC,%RH,%,%,%,degC,degC,degC,ml/(hr.m2),ml/(hr.m2),%,W/m2,degC
0.1166438,12:49:32 PM,0.0107,0.069,-0.0413,34.43,34.31,34.97,22.34,47.76,47.38,47.30,0.00,6.49,36.90,1190.5,1063.8,25.1,21.51,21.52,21.48,0.11,0.11,21.54,62.2,0.00,0.00,30.00,23.7,21.9,23.5,0,0,0.00,398.6,0.23,,
0.216422,12:49:32 PM,0.0107,0.069,-0.0413,34.43,34.31,34.97,22.34,47.76,47.38,47.30,0.00,6.49,36.90,1190.5,1063.8,25.1,21.51,21.52,21.48,0.11,0.11,21.54,62.2,0.00,0.00,30.00,23.7,21.9,23.5,0,0,0.00,398.6,0.23,,
0.3164527,12:49:32 PM,0.0107,0.069,-0.0413,34.43,34.31,34.97,22.34,47.76,47.38,47.30,0.00,6.49,36.90,1190.5,1063.8,25.1,21.51,21.52,21.48,0.11,0.11,21.54,62.2,0.00,0.00,0.00,23.7,21.9,23.5,0,0,0.00,398.6,0.93,,
0.416434,12:49:32 PM,0.0107,0.069,-0.0413,34.43,34.31,34.97,22.34,47.76,47.38,47.30,0.00,6.49,36.90,1190.5,1063.8,25.1,21.51,21.52,21.48,0.11,0.11,21.54,62.2,0.00,0.00,0.00,23.7,21.9,23.5,0,0,0.00,397.3,0.93,,
0.5163486,12:49:33 PM,0.0109,0.070,-0.0411,34.43,34.31,34.97,22.34,47.76,47.38,47.30,0.00,6.49,36.90,1190.5,1063.8,25.1,21.51,21.52,21.48,0.11,0.11,21.54,62.2,0.00,0.00,0.00,23.7,21.9,23.1,0,0,0.00,397.3,0.93,,
0.616297,12:49:33 PM,0.0109,0.070,-0.0411,34.43,34.31,34.97,22.34,47.76,47.38,47.30,0.00,6.49,36.90,1190.5,1063.8,25.1,21.51,21.52,21.48,0.11,0.11,21.54,62.2,0.00,0.00,0.00,23.7,21.9,23.1,0,0,0.00,397.3,0.93,,
0.7118826,12:49:33 PM,0.0109,0.070,-0.0411,34.43,34.31,34.97,22.34,47.76,47.38,47.30,0.00,6.49,36.90,1190.5,1063.8,25.1,21.51,21.52,21.48,0.11,0.11,21.54,62.2,0.00,0.00,0.00,23.7,21.9,23.1,0,0,0.00,397.3,0.93,,
0.8118877,12:49:33 PM,0.0109,0.070,-0.0411,34.43,34.31,34.97,22.34,47.94,47.93,47.96,0.00,6.49,36.90,1190.5,1063.8,25.1,21.51,21.52,21.48,0.11,0.11,21.54,62.2,0.00,0.00,0.00,23.7,21.7,23.5,0,0,0.00,397.3,0.93,,
0.9120717,12:49:33 PM,0.0109,0.070,-0.0411,34.43,34.31,34.97,22.34,47.94,47.93,47.96,0.00,44.98,37.38,1190.5,1063.8,25.1,21.51,21.52,21.48,0.11,0.11,21.54,62.2,0.00,0.00,0.00,23.7,21.7,23.5,0,0,0.00,397.3,0.93,,
