ThermDAC Version,device.map.iSGHP-DHS.29MAY19.xls,8/14/2019 2:39:50 PM
CalcsFile Version,3/31/2014 8:09:08 PM
[Test Data]
Format 2
Experiment Type:,dry
Test Date:,10/8/2019,10:54:36 AM
Logging Interval (min),0.00166666666666667
Datafile:,C:\Program Files (x86)\ThermDac8\DEV_ISGHP_DHS\Test Data\Kappler\D200-5.csv
Comments:,


Device Name,,Test Plate,Guard Ring,Lower Guard
RCT0,degC.m2/W,0.0520,,,
Surface Area,m2,0.0423,0.0475,1.0000,

,,Test Plate,Test Plate,Test Plate,Test Plate,Guard Ring,Lower Guard,Backside Cooling,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Test Plate,Guard Ring,Backside Cooling,Test Plate,Test Plate
Time,Clock,RCT,RCT CLO,RCF,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heater Voltage,Heater Voltage,Heater Voltage,Heater % On,Heater % On,Heater % On,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Amb Temp,Ambient Temp 1,Ambient Temp 2,Air Velocity,Raw Air Velocity,Chamber Temp,Amb RH,Heater % Out,Steam % Out,Fan % Output,Board Temp,Heater TC (Overtemp),Boiler TC (Overtemp),Flow Setpoint,Flow Setpoint,Cooler % Output,Heat Flux Measured,DHS Sensor Delta Temperature,EventText,SystemEventText
Seconds,,degC.m2/W,Clo,degC.m2/W,degC,degC,degC,degC,V,V,V,%,%,%,W/m2,W/m2,W/m2,degC,degC,degC,m/sec,m/sec,degC,%RH,%,%,%,degC,degC,degC,ml/(hr.m2),ml/(hr.m2),%,W/m2,degC
0.1171665,10:54:36 AM,0.3238,2.089,0.2718,35.24,35.00,34.97,22.48,48.04,47.93,47.96,1.14,6.67,39.01,43.5,152.0,26.9,21.20,21.21,21.15,0.12,0.12,20.91,66.4,0.67,0.00,30.00,24.1,20.6,24.8,0,0,0.00,93.3,0.21,,
0.2171324,10:54:36 AM,0.3238,2.089,0.2718,35.23,35.00,34.97,22.48,48.04,47.93,47.96,1.14,6.67,39.01,43.5,152.0,26.9,21.20,21.21,21.15,0.12,0.12,20.91,66.4,0.67,0.00,30.00,24.1,20.7,24.8,0,0,0.00,93.3,0.21,,
0.3170503,10:54:36 AM,0.3238,2.089,0.2718,35.23,35.00,34.97,22.48,48.04,47.93,47.96,1.14,6.67,39.01,43.5,152.0,26.9,21.20,21.21,21.15,0.12,0.12,20.91,66.4,0.67,0.00,30.00,24.1,20.7,24.6,0,0,0.00,93.3,0.21,,
0.4169971,10:54:36 AM,0.3238,2.089,0.2718,35.23,35.00,34.97,22.48,48.04,47.93,47.96,1.14,6.67,39.01,43.5,152.0,26.9,21.20,21.21,21.15,0.11,0.12,20.91,66.4,0.67,0.00,30.00,24.1,20.7,24.6,0,0,0.00,93.3,0.21,,
0.5169445,10:54:36 AM,0.3223,2.079,0.2703,35.23,35.00,34.97,22.48,48.04,47.93,47.96,1.14,6.67,39.01,43.5,152.0,26.9,21.20,21.21,21.15,0.11,0.12,20.91,66.4,0.67,0.00,0.00,24.1,20.7,24.6,0,0,0.00,93.0,0.22,,
0.6168917,10:54:36 AM,0.3223,2.079,0.2703,35.23,35.00,34.97,22.48,48.04,47.93,47.96,1.14,6.67,39.01,43.5,152.0,26.9,21.20,21.21,21.15,0.11,0.11,20.91,66.4,0.67,0.00,0.00,24.1,20.5,24.6,0,0,0.00,93.0,0.22,,
0.7168398,10:54:36 AM,0.3223,2.079,0.2703,35.23,35.00,34.97,22.48,48.04,47.93,47.96,1.14,6.67,39.01,43.5,152.0,26.9,21.20,21.21,21.15,0.11,0.11,20.91,66.4,0.67,0.00,0.00,24.0,20.5,24.9,0,0,0.00,93.0,0.22,,
0.816816,10:54:36 AM,0.3223,2.079,0.2703,35.23,35.00,34.97,22.48,48.04,47.93,47.96,1.14,6.67,39.01,43.5,152.0,26.9,21.20,21.21,21.15,0.11,0.11,20.91,66.4,0.67,0.00,0.00,24.0,20.5,24.9,0,0,0.00,93.0,0.22,,
0.9167323,10:54:37 AM,0.3223,2.079,0.2703,35.23,35.00,34.97,22.48,47.89,47.91,47.93,1.14,6.67,39.01,43.5,152.0,26.9,21.20,21.21,21.15,0.11,0.11,20.91,66.4,0.67,0.00,0.00,24.0,20.5,24.9,0,0,0.00,93.0,0.22,,
1.0166786,10:54:37 AM,0.3223,2.079,0.2703,35.23,35.00,34.97,22.48,47.89,47.91,47.93,1.14,6.67,39.01,43.5,152.0,26.9,21.20,21.21,21.15,0.11,0.11,20.91,66.4,0.67,0.00,0.00,24.0,20.5,24.4,0,0,0.00,93.0,0.22,,
1.1166253,10:54:37 AM,0.3223,2.079,0.2703,35.23,35.00,34.97,22.48,47.89,47.91,47.93,2.28,6.97,39.21,43.5,152.0,26.9,21.20,21.21,21.15,0.11,0.11,20.91,66.4,0.67,0.00,0.00,24.1,20.5,24.4,0,0,0.00,93.0,0.22,,
1.2165723,10:54:37 AM,0.3223,2.079,0.2703,35.23,35.00,34.97,22.48,47.89,47.91,47.93,2.28,6.97,39.21,43.5,152.0,26.9,21.19,21.21,21.15,0.11,0.11,20.91,66.4,0.67,0.00,0.00,24.1,20.5,24.4,0,0,0.00,93.0,0.22,,
1.3165531,10:54:37 AM,0.3223,2.079,0.2703,35.23,35.00,34.97,22.48,47.89,47.91,47.93,2.28,6.97,39.21,43.5,152.0,26.9,21.19,21.21,21.14,0.11,0.11,20.91,66.4,0.67,0.00,0.00,24.1,20.5,24.4,0,0,0.00,93.0,0.22,,
