ThermDAC Version,device.map.iSGHP-DHS.29MAY19.xls,8/14/2019 2:39:50 PM
CalcsFile Version,3/31/2014 8:09:08 PM
[Test Data]
Format 2
Experiment Type:,dry
Test Date:,10/8/2019,11:04:52 AM
Logging Interval (min),0.00166666666666667
Datafile:,C:\Program Files (x86)\ThermDac8\DEV_ISGHP_DHS\Test Data\Kappler\PVC-4.csv
Comments:,


Device Name,,Test Plate,Guard Ring,Lower Guard
RCT0,degC.m2/W,0.0520,,,
Surface Area,m2,0.0423,0.0475,1.0000,

,,Test Plate,Test Plate,Test Plate,Test Plate,Guard Ring,Lower Guard,Backside Cooling,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Test Plate,Guard Ring,Backside Cooling,Test Plate,Test Plate
Time,Clock,RCT,RCT CLO,RCF,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heater Voltage,Heater Voltage,Heater Voltage,Heater % On,Heater % On,Heater % On,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Amb Temp,Ambient Temp 1,Ambient Temp 2,Air Velocity,Raw Air Velocity,Chamber Temp,Amb RH,Heater % Out,Steam % Out,Fan % Output,Board Temp,Heater TC (Overtemp),Boiler TC (Overtemp),Flow Setpoint,Flow Setpoint,Cooler % Output,Heat Flux Measured,DHS Sensor Delta Temperature,EventText,SystemEventText
Seconds,,degC.m2/W,Clo,degC.m2/W,degC,degC,degC,degC,V,V,V,%,%,%,W/m2,W/m2,W/m2,degC,degC,degC,m/sec,m/sec,degC,%RH,%,%,%,degC,degC,degC,ml/(hr.m2),ml/(hr.m2),%,W/m2,degC
0.1188772,11:04:52 AM,∞,∞,∞,35.87,35.75,35.00,22.41,47.91,47.91,47.94,1.50,7.02,37.71,0.0,0.0,26.0,21.34,21.33,21.34,0.11,0.12,21.36,64.7,0.00,0.00,30.00,23.9,20.5,24.3,0,0,0.00,205.3,0.28,,
0.2155688,11:04:52 AM,∞,∞,∞,35.87,35.75,35.00,22.41,47.91,47.91,47.94,1.50,7.02,37.71,0.0,0.0,26.0,21.34,21.33,21.34,0.11,0.11,21.36,64.7,0.00,0.00,30.00,23.9,20.6,24.3,0,0,0.00,205.3,0.28,,
0.3185081,11:04:53 AM,∞,∞,∞,35.87,35.75,35.00,22.41,47.91,47.91,47.94,1.50,7.02,37.71,0.0,0.0,26.0,21.34,21.33,21.34,0.11,0.11,21.36,64.7,0.00,0.00,30.00,23.9,20.6,24.1,0,0,0.00,205.3,0.28,,
0.418453,11:04:53 AM,∞,∞,∞,35.87,35.75,35.00,22.41,47.91,47.91,47.94,1.50,7.02,37.71,0.0,0.0,26.0,21.34,21.33,21.34,0.11,0.11,21.36,64.7,0.00,0.00,30.00,23.9,20.6,24.1,0,0,0.00,205.3,0.28,,
0.5183999,11:04:53 AM,∞,∞,∞,35.87,35.75,35.00,22.41,47.91,47.91,47.94,1.50,7.02,37.71,0.0,0.0,26.0,21.34,21.33,21.34,0.11,0.11,21.36,64.7,0.00,0.00,0.00,23.9,20.6,24.1,0,0,0.00,205.3,0.28,,
0.618348,11:04:53 AM,∞,∞,∞,35.87,35.75,35.00,22.41,47.91,47.91,47.94,1.50,7.02,37.71,0.0,0.0,26.0,21.34,21.33,21.34,0.11,0.11,21.36,64.7,0.00,0.00,0.00,23.9,20.7,24.1,0,0,0.00,205.3,0.28,,
0.7182939,11:04:53 AM,∞,∞,∞,35.87,35.75,35.00,22.41,47.91,47.91,47.94,1.50,7.02,37.71,0.0,0.0,26.0,21.34,21.33,21.34,0.11,0.11,21.36,64.7,0.00,0.00,0.00,23.9,20.7,24.7,0,0,0.00,205.3,0.28,,
0.8184748,11:04:53 AM,∞,∞,∞,35.87,35.75,35.00,22.41,47.91,47.91,47.94,1.50,7.02,37.71,0.0,0.0,26.0,21.34,21.33,21.34,0.11,0.11,21.36,64.7,0.00,0.00,0.00,23.9,20.7,24.7,0,0,0.00,203.7,0.48,,
0.9158615,11:04:53 AM,∞,∞,∞,35.87,35.75,35.00,22.41,47.91,47.91,47.94,1.50,7.02,37.71,0.0,0.0,26.0,21.34,21.33,21.34,0.11,0.11,21.36,64.7,0.00,0.00,0.00,23.9,20.7,24.7,0,0,0.00,203.7,0.48,,
1.0149122,11:04:53 AM,∞,∞,∞,35.87,35.75,35.00,22.41,47.91,47.91,47.94,1.50,7.02,37.71,0.0,0.0,26.0,21.34,21.33,21.34,0.11,0.11,21.36,64.7,0.00,0.00,0.00,23.9,20.6,24.6,0,0,0.00,203.7,0.48,,
1.1183271,11:04:53 AM,∞,∞,∞,35.87,35.75,35.00,22.41,47.91,47.91,47.94,1.50,7.02,37.71,0.0,0.0,26.0,21.34,21.33,21.34,0.11,0.11,21.36,64.7,0.00,0.00,0.00,23.9,20.6,24.6,0,0,0.00,203.7,0.48,,
1.218158,11:04:53 AM,∞,∞,∞,35.87,35.75,35.00,22.41,47.77,47.74,47.88,1.50,7.02,37.71,0.0,0.0,26.0,21.34,21.33,21.34,0.11,0.11,21.36,64.7,0.00,0.00,0.00,23.9,20.6,24.6,0,0,0.00,203.7,0.48,,
1.3146404,11:04:54 AM,∞,∞,∞,35.87,35.75,35.00,22.41,47.77,47.74,47.88,1.50,7.02,37.71,0.0,0.0,26.0,21.34,21.32,21.34,0.11,0.11,21.36,64.7,0.00,0.00,0.00,23.9,20.6,24.6,0,0,0.00,203.7,0.48,,
1.4171496,11:04:54 AM,∞,∞,∞,35.87,35.75,35.00,22.41,47.77,47.74,47.88,0.00,0.00,37.84,0.0,0.0,26.0,21.34,21.32,21.34,0.11,0.11,21.36,64.7,0.00,0.00,0.00,23.9,20.8,24.2,0,0,0.00,203.7,0.48,,
1.5139417,11:04:54 AM,∞,∞,∞,35.87,35.75,35.00,22.41,47.77,47.74,47.88,0.00,0.00,37.84,0.0,0.0,26.0,21.34,21.32,21.34,0.11,0.11,21.36,64.7,0.00,0.00,0.00,23.9,20.8,24.2,0,0,0.00,203.7,0.48,,
1.6179346,11:04:54 AM,∞,∞,∞,35.87,35.75,35.00,22.41,47.77,47.74,47.88,0.00,0.00,37.84,0.0,0.0,26.0,21.34,21.32,21.34,0.11,0.11,21.36,64.7,0.00,0.00,0.00,23.9,20.8,24.2,0,0,0.00,203.7,0.48,,
1.7166041,11:04:54 AM,∞,∞,∞,35.87,35.75,35.00,22.41,47.77,47.74,47.88,0.00,0.00,37.84,0.0,0.0,26.0,21.34,21.32,21.34,0.11,0.11,21.36,64.7,0.00,0.00,0.00,23.9,20.8,24.2,0,0,0.00,203.7,0.48,,
1.8139375,11:04:54 AM,∞,∞,∞,35.87,35.75,35.00,22.41,47.77,47.74,47.88,0.00,0.00,37.84,0.0,0.0,26.0,21.34,21.32,21.34,0.11,0.11,21.36,64.7,0.00,0.00,0.00,23.9,20.7,24.4,0,0,0.00,203.7,0.48,,
