ThermDAC Version,device.map.iSGHP-DHS.29MAY19.xls,8/14/2019 2:39:50 PM
CalcsFile Version,3/31/2014 8:09:08 PM
[Test Data]
Format 2
Experiment Type:,dry
Test Date:,10/8/2019,10:36:20 AM
Logging Interval (min),0.00166666666666667
Datafile:,C:\Program Files (x86)\ThermDac8\DEV_ISGHP_DHS\Test Data\Kappler\PVC-5 upd.csv
Comments:,


Device Name,,Test Plate,Guard Ring,Lower Guard
RCT0,degC.m2/W,0.0520,,,
Surface Area,m2,0.0423,0.0475,1.0000,

,,Test Plate,Test Plate,Test Plate,Test Plate,Guard Ring,Lower Guard,Backside Cooling,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Test Plate,Guard Ring,Lower Guard,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Chamber,Test Plate,Guard Ring,Backside Cooling,Test Plate,Test Plate
Time,Clock,RCT,RCT CLO,RCF,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heater Voltage,Heater Voltage,Heater Voltage,Heater % On,Heater % On,Heater % On,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Amb Temp,Ambient Temp 1,Ambient Temp 2,Air Velocity,Raw Air Velocity,Chamber Temp,Amb RH,Heater % Out,Steam % Out,Fan % Output,Board Temp,Heater TC (Overtemp),Boiler TC (Overtemp),Flow Setpoint,Flow Setpoint,Cooler % Output,Heat Flux Measured,DHS Sensor Delta Temperature,EventText,SystemEventText
Seconds,,degC.m2/W,Clo,degC.m2/W,degC,degC,degC,degC,V,V,V,%,%,%,W/m2,W/m2,W/m2,degC,degC,degC,m/sec,m/sec,degC,%RH,%,%,%,degC,degC,degC,ml/(hr.m2),ml/(hr.m2),%,W/m2,degC
0.1165714,10:36:20 AM,0.0919,0.593,0.0399,35.15,35.08,34.98,22.72,47.77,47.74,47.86,7.46,11.05,39.07,152.0,242.6,26.9,21.18,21.17,21.12,0.11,0.11,21.15,66.4,0.00,0.00,30.00,24.3,20.2,25.2,0,0,0.00,184.4,0.43,,
0.217822,10:36:20 AM,0.0919,0.593,0.0399,35.15,35.08,34.98,22.72,47.77,47.74,47.86,7.46,11.05,39.07,152.0,242.6,26.9,21.18,21.17,21.12,0.11,0.11,21.15,66.4,0.00,0.00,30.00,24.3,20.2,25.3,0,0,0.00,184.4,0.43,,
0.319352,10:36:20 AM,0.0919,0.593,0.0399,35.15,35.08,34.98,22.72,47.77,47.74,47.86,7.46,11.05,39.07,152.0,242.6,26.9,21.18,21.17,21.12,0.11,0.11,21.15,66.4,0.00,0.00,30.00,24.3,20.2,25.3,0,0,0.00,184.6,0.43,,
0.4173534,10:36:21 AM,0.0919,0.593,0.0399,35.15,35.08,34.98,22.72,47.77,47.74,47.86,7.46,11.05,39.07,152.0,242.6,26.9,21.18,21.17,21.12,0.12,0.11,21.15,66.4,0.00,0.00,30.00,24.3,20.2,25.3,0,0,0.00,184.6,0.43,,
0.5169045,10:36:21 AM,0.0919,0.593,0.0399,35.15,35.08,34.98,22.72,47.77,47.74,47.86,7.46,11.05,39.07,152.0,242.6,26.9,21.18,21.17,21.12,0.12,0.11,21.15,66.4,0.00,0.00,0.00,24.3,20.2,25.3,0,0,0.00,184.6,0.43,,
0.6167373,10:36:21 AM,0.0919,0.593,0.0399,35.15,35.08,34.98,22.72,47.77,47.74,47.86,7.46,11.05,39.07,152.0,242.6,26.9,21.18,21.17,21.12,0.12,0.12,21.15,66.4,0.00,0.00,0.00,24.3,20.7,25.0,0,0,0.00,184.6,0.43,,
0.7173771,10:36:21 AM,0.0919,0.593,0.0399,35.15,35.08,34.98,22.71,47.72,47.47,47.86,7.46,11.05,39.07,152.0,242.6,26.9,21.18,21.17,21.12,0.12,0.12,21.15,66.4,0.00,0.00,0.00,24.3,20.7,25.0,0,0,0.00,184.6,0.43,,
0.8165772,10:36:21 AM,0.0919,0.593,0.0399,35.15,35.08,34.98,22.71,47.72,47.47,47.86,7.46,11.05,39.07,152.0,242.6,26.9,21.18,21.17,21.12,0.12,0.12,21.15,66.4,0.00,0.00,0.00,24.3,20.7,25.0,0,0,0.00,184.6,0.43,,
0.9168031,10:36:21 AM,0.0919,0.593,0.0399,35.15,35.08,34.98,22.71,47.72,47.47,47.86,7.67,11.05,39.08,152.0,242.6,26.9,21.18,21.17,21.12,0.12,0.12,21.15,66.4,0.00,0.00,0.00,24.3,20.7,25.0,0,0,0.00,184.6,0.43,,
